Binding energies, Photoelectric cross sections and asymmetry parameters for AS
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2   11871.000  ---             ---            ---             ---   
2S1/2    1531.000  ---             ---            ---             ---   
2P1/2    1362.000  1.7564059E+002  1.1017319E+000 ---             ---   
2P3/2    1327.000  3.3919097E+002  1.1682615E+000 ---             ---   
3S1/2     208.000  1.7579531E+001  1.9971044E+000 2.3827353E+001  1.9961858E+000
3P1/2     151.000  1.8055441E+001  1.5602386E+000 2.6188029E+001  1.5862676E+000
3P3/2     145.000  3.4716869E+001  1.5840348E+000 5.0608918E+001  1.6077241E+000
3D3/2      46.000  9.1948451E+000  1.0573181E+000 1.5943876E+001  1.1094424E+000
3D5/2      45.000  1.3383352E+001  1.0433376E+000 2.3244957E+001  1.0964068E+000
4S1/2      17.000  1.8268240E+000  1.9978544E+000 2.4832858E+000  1.9969341E+000
4P1/2       9.000  1.1179428E+000  1.5686605E+000 1.6124170E+000  1.5992640E+000
4P3/2       9.000  2.1123891E+000  1.5923271E+000 3.0640998E+000  1.6201869E+000
--------------------------------------------------------------------------------
