Binding energies, Photoelectric cross sections and asymmetry parameters for CO
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    7715.000  ---             ---            ---             ---   
2S1/2     931.000  6.5290783E+001  1.9963431E+000 8.7002268E+001  1.9942379E+000
2P1/2     800.000  7.9640268E+001  1.4366653E+000 1.2556934E+002  1.4203988E+000
2P3/2     785.000  1.5352558E+002  1.4552427E+000 2.4329311E+002  1.4427160E+000
3S1/2     107.000  1.0817401E+001  1.9990162E+000 1.4895811E+001  1.9990135E+000
3P1/2      68.000  8.5335292E+000  1.4731413E+000 1.2839082E+001  1.5164335E+000
3P3/2      66.000  1.6435355E+001  1.4923045E+000 2.4821683E+001  1.5341740E+000
3D3/2       9.000  1.9496830E+000  8.9294369E-001 3.5268118E+000  9.6396687E-001
3D5/2       9.000  2.8524377E+000  8.8581328E-001 5.1673670E+000  9.5544814E-001
4S1/2       8.000  7.1697432E-001  1.9989858E+000 9.9130917E-001  1.9989792E+000
--------------------------------------------------------------------------------
