Binding energies, Photoelectric cross sections and asymmetry parameters for CR
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    5995.000  ---             ---            ---             ---   
2S1/2     702.000  5.1593884E+001  1.9991378E+000 7.0357418E+001  1.9982246E+000
2P1/2     589.000  4.8473357E+001  1.4207890E+000 7.7324781E+001  1.4403245E+000
2P3/2     580.000  9.3735363E+001  1.4374749E+000 1.4989830E+002  1.4556383E+000
3S1/2      80.000  7.9162925E+000  1.9991991E+000 1.1005417E+001  1.9996515E+000
3P1/2      49.000  5.2067993E+000  1.4053526E+000 8.0209502E+000  1.4589320E+000
3P3/2      48.000  1.0067009E+001  1.4208818E+000 1.5551425E+001  1.4735148E+000
3D3/2       8.000  6.8016649E-001  7.8849965E-001 1.2589469E+000  8.6386836E-001
3D5/2       8.000  9.9725260E-001  7.8445889E-001 1.8480007E+000  8.5885631E-001
4S1/2       7.000  4.3687001E-001  1.9990261E+000 6.0997454E-001  1.9994831E+000
--------------------------------------------------------------------------------
