Binding energies, Photoelectric cross sections and asymmetry parameters for CU
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    8986.000  ---             ---            ---             ---   
2S1/2    1103.000  7.4466009E+001  1.9934438E+000 9.8305450E+001  1.9900113E+000
2P1/2     958.000  1.0793499E+002  1.4244088E+000 1.6704321E+002  1.3189247E+000
2P3/2     938.000  2.0779872E+002  1.4457574E+000 3.2339588E+002  1.3440830E+000
3S1/2     127.000  1.2719784E+001  1.9987377E+000 1.7400876E+001  1.9982698E+000
3P1/2      82.000  1.1044092E+001  1.5085282E+000 1.6395393E+001  1.5462089E+000
3P3/2      80.000  2.1231504E+001  1.5294727E+000 3.1652821E+001  1.5652593E+000
3D3/2      11.000  3.0545958E+000  9.5483579E-001 5.4650785E+000  1.0218255E+000
3D5/2      10.000  4.4395308E+000  9.4464242E-001 7.9536642E+000  1.0115576E+000
4S1/2       8.000  6.0214428E-001  1.9989239E+000 8.2726158E-001  1.9984737E+000
--------------------------------------------------------------------------------
