Binding energies, Photoelectric cross sections and asymmetry parameters for DY
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3P1/2    1846.000  ---             ---            ---             ---   
3P3/2    1678.000  ---             ---            ---             ---   
3D3/2    1335.000  4.6235891E+002  4.6606901E-001 ---             ---   
3D5/2    1298.000  6.7104500E+002  5.9066016E-001 ---             ---   
4S1/2     417.000  2.1251692E+001  1.9377329E+000 2.7345776E+001  1.9337234E+000
4P1/2     331.000  2.5151866E+001  1.6230054E+000 3.1861161E+001  1.5682747E+000
4P3/2     297.000  5.4825718E+001  1.6226438E+000 7.2117485E+001  1.5670268E+000
4D3/2     164.000  6.0733926E+001  1.3124521E+000 8.6014933E+001  1.2708875E+000
4D5/2     157.000  8.7280058E+001  1.3271186E+000 1.2445771E+002  1.3020716E+000
4F5/2       6.000  1.9214599E+001  1.0451581E+000 3.3554037E+001  1.0491271E+000
4F7/2       6.000  2.4438123E+001  1.0395015E+000 4.2785424E+001  1.0461835E+000
5S1/2      50.000  3.8457758E+000  1.9424949E+000 5.0579790E+000  1.9405949E+000
5P1/2      33.000  3.6396770E+000  1.6909107E+000 4.6668731E+000  1.6619611E+000
5P3/2      28.000  7.4235798E+000  1.6888623E+000 9.7797650E+000  1.6468359E+000
6S1/2       6.000  3.1293537E-001  1.9428074E+000 4.1315404E-001  1.9409181E+000
--------------------------------------------------------------------------------
