Binding energies, Photoelectric cross sections and asymmetry parameters for FE
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    7117.000  ---             ---            ---             ---   
2S1/2     851.000  6.0594457E+001  1.9975469E+000 8.1416513E+001  1.9960166E+000
2P1/2     727.000  6.7977434E+001  1.4364163E+000 1.0792054E+002  1.4452917E+000
2P3/2     714.000  1.3111213E+002  1.4545368E+000 2.0879653E+002  1.4630297E+000
3S1/2      99.000  9.8653048E+000  1.9990196E+000 1.3631477E+001  1.9990112E+000
3P1/2      61.000  7.3542324E+000  1.4511517E+000 1.1148374E+001  1.4986584E+000
3P3/2      59.000  1.4186441E+001  1.4693218E+000 2.1583229E+001  1.5154088E+000
3D3/2       9.000  1.4654267E+000  8.6015859E-001 2.6694596E+000  9.3255121E-001
3D5/2       9.000  2.1478765E+000  8.5404674E-001 3.9176944E+000  9.2502961E-001
4S1/2       8.000  6.7370494E-001  1.9989856E+000 9.3505934E-001  1.9989789E+000
--------------------------------------------------------------------------------
