Binding energies, Photoelectric cross sections and asymmetry parameters for GE
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2   11107.000  ---             ---            ---             ---   
2S1/2    1413.000  ---             ---            ---             ---   
2P1/2    1251.000  1.5677033E+002  1.2577801E+000 ---             ---   
2P3/2    1220.000  3.0198397E+002  1.2857178E+000 ---             ---   
3S1/2     184.000  1.6265518E+001  1.9976032E+000 2.2074258E+001  1.9971633E+000
3P1/2     130.000  1.6103124E+001  1.5496860E+000 2.3452114E+001  1.5783489E+000
3P3/2     125.000  3.0920886E+001  1.5727275E+000 4.5249225E+001  1.5990194E+000
3D3/2      33.000  7.2024675E+000  1.0333529E+000 1.2544526E+001  1.0896039E+000
3D5/2      32.000  1.0484539E+001  1.0211330E+000 1.8287483E+001  1.0773909E+000
4S1/2      14.000  1.5052491E+000  1.9979355E+000 2.0501846E+000  1.9974630E+000
4P1/2       8.000  7.9782961E-001  1.5566965E+000 1.1581917E+000  1.5891751E+000
--------------------------------------------------------------------------------
