Binding energies, Photoelectric cross sections and asymmetry parameters for HF
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3D3/2    1720.000  ---             ---            ---             ---   
3D5/2    1665.000  ---             ---            ---             ---   
4S1/2     542.000  2.3867801E+001  1.9009753E+000 3.0142511E+001  1.8926197E+000
4P1/2     442.000  2.8002245E+001  1.5544626E+000 3.3938153E+001  1.4446247E+000
4P3/2     385.000  6.5468243E+001  1.5425466E+000 8.3841763E+001  1.4408764E+000
4D3/2     229.000  8.0139178E+001  1.2407132E+000 1.1037602E+002  1.1740285E+000
4D5/2     217.000  1.1533730E+002  1.2879521E+000 1.6046085E+002  1.2442987E+000
4F5/2      21.000  4.1253229E+001  1.0466862E+000 6.9595148E+001  1.0307168E+000
4F7/2      20.000  5.2319364E+001  1.0433193E+000 8.8552926E+001  1.0310790E+000
5S1/2      68.000  4.6095050E+000  1.9125813E+000 6.0003782E+000  1.9083062E+000
5P1/2      43.000  4.3743427E+000  1.6584111E+000 5.5058561E+000  1.6150446E+000
5P3/2      35.000  9.3973807E+000  1.6380143E+000 1.2234328E+001  1.5823059E+000
5D3/2       7.000  4.2970716E+000  1.3324007E+000 5.8039060E+000  1.2681728E+000
6S1/2       7.000  4.2446158E-001  1.9134150E+000 5.5567667E-001  1.9088229E+000
--------------------------------------------------------------------------------
