Binding energies, Photoelectric cross sections and asymmetry parameters for LU
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3D3/2    1647.000  ---             ---            ---             ---   
3D5/2    1596.000  ---             ---            ---             ---   
4S1/2     514.000  2.3452425E+001  1.9089280E+000 2.9675300E+001  1.9011902E+000
4P1/2     415.000  2.7526907E+001  1.5701205E+000 3.3646201E+001  1.4705638E+000
4P3/2     364.000  6.3525457E+001  1.5582632E+000 8.1690208E+001  1.4665084E+000
4D3/2     212.000  7.6622079E+001  1.2553405E+000 1.0621094E+002  1.1940514E+000
4D5/2     202.000  1.1022691E+002  1.2957067E+000 1.5392903E+002  1.2554014E+000
4F5/2      13.000  3.5734102E+001  1.0472812E+000 6.0783839E+001  1.0344109E+000
4F7/2      12.000  4.5252584E+001  1.0437285E+000 7.7196830E+001  1.0341226E+000
5S1/2      62.000  4.3619329E+000  1.9188231E+000 5.6846482E+000  1.9150202E+000
5P1/2      39.000  4.1013055E+000  1.6646059E+000 5.1705593E+000  1.6236384E+000
5P3/2      32.000  8.6826272E+000  1.6469815E+000 1.1318460E+001  1.5932330E+000
5D3/2       6.000  3.3825023E+000  1.3390283E+000 4.5890968E+000  1.2780697E+000
6S1/2       7.000  3.7731075E-001  1.9194796E+000 4.9428355E-001  1.9153335E+000
--------------------------------------------------------------------------------
