Binding energies, Photoelectric cross sections and asymmetry parameters for MN
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    6544.000  ---             ---            ---             ---   
2S1/2     775.000  5.5977795E+001  1.9988499E+000 7.5978243E+001  1.9976745E+000
2P1/2     656.000  5.7413842E+001  1.4304456E+000 9.1337156E+001  1.4454854E+000
2P3/2     645.000  1.1083491E+002  1.4477824E+000 1.7679989E+002  1.4610939E+000
3S1/2      89.000  8.9201187E+000  1.9990177E+000 1.2363022E+001  1.9990024E+000
3P1/2      55.000  6.2761328E+000  1.4278882E+000 9.5925102E+000  1.4786742E+000
3P3/2      53.000  1.2117144E+001  1.4450656E+000 1.8578160E+001  1.4944338E+000
3D3/2       9.000  1.0781470E+000  8.2351564E-001 1.9772698E+000  8.9763776E-001
3D5/2       9.000  1.5821529E+000  8.1840321E-001 2.9052255E+000  8.9111367E-001
4S1/2       7.000  6.2866400E-001  1.9989673E+000 8.7554208E-001  1.9989851E+000
--------------------------------------------------------------------------------
