Binding energies, Photoelectric cross sections and asymmetry parameters for ND
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3S1/2    1580.000  ---             ---            ---             ---   
3P1/2    1408.000  ---             ---            ---             ---   
3P3/2    1303.000  1.8295675E+002  1.0278355E+000 ---             ---   
3D3/2    1005.000  3.0943080E+002  9.3936153E-001 4.7300220E+002  6.7349655E-001
3D5/2     983.000  4.4615583E+002  9.9843382E-001 6.8577057E+002  7.5119301E-001
4S1/2     321.000  1.7816338E+001  1.9599957E+000 2.3454132E+001  1.9583201E+000
4P1/2     249.000  2.1106421E+001  1.6639760E+000 2.7630617E+001  1.6430834E+000
4P3/2     230.000  4.3884992E+001  1.6762211E+000 5.8854528E+001  1.6467554E+000
4D3/2     126.000  4.2651659E+001  1.3443839E+000 6.2174636E+001  1.3239616E+000
4D5/2     122.000  6.1323051E+001  1.3389623E+000 8.9858593E+001  1.3309574E+000
4F5/2       6.000  7.8988982E+000  1.0177107E+000 1.4207195E+001  1.0435590E+000
5S1/2      42.000  3.3098546E+000  1.9627795E+000 4.4013053E+000  1.9618239E+000
5P1/2      28.000  3.1880576E+000  1.7086154E+000 4.1752977E+000  1.6921917E+000
5P3/2      25.000  6.3571532E+000  1.7197819E+000 8.5016099E+000  1.6922244E+000
6S1/2       5.000  3.0073957E-001  1.9629328E+000 4.0150646E-001  1.9619653E+000
--------------------------------------------------------------------------------
