Binding energies, Photoelectric cross sections and asymmetry parameters for NI
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    8338.000  ---             ---            ---             ---   
2S1/2    1015.000  6.9870022E+001  1.9956027E+000 9.2631787E+001  1.9925227E+000
2P1/2     877.000  9.2603436E+001  1.4328116E+000 1.4457950E+002  1.3747464E+000
2P3/2     860.000  1.7848848E+002  1.4524223E+000 2.8001607E+002  1.3978031E+000
3S1/2     117.000  1.1797145E+001  1.9987576E+000 1.6187433E+001  1.9982818E+000
3P1/2      75.000  9.7956439E+000  1.4922420E+000 1.4632048E+001  1.5322523E+000
3P3/2      73.000  1.8857251E+001  1.5113874E+000 2.8282025E+001  1.5499790E+000
3D3/2      10.000  2.5462278E+000  9.2483908E-001 4.5760411E+000  9.9364920E-001
3D5/2      10.000  3.7209640E+000  9.1677223E-001 6.6973834E+000  9.8464145E-001
4S1/2       8.000  7.5871029E-001  1.9989230E+000 1.0454777E+000  1.9984752E+000
--------------------------------------------------------------------------------
