Binding energies, Photoelectric cross sections and asymmetry parameters for PM
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3S1/2    1654.000  ---             ---            ---             ---   
3P1/2    1476.000  ---             ---            ---             ---   
3P3/2    1362.000  1.8786072E+002  8.4656513E-001 ---             ---   
3D3/2    1057.000  3.3253227E+002  8.6692204E-001 5.0794727E+002  5.9801269E-001
3D5/2    1032.000  4.7941386E+002  9.4159526E-001 7.3628810E+002  6.8981409E-001
4S1/2     335.000  1.8428477E+001  1.9569195E+000 2.4166583E+001  1.9550209E+000
4P1/2     260.000  2.1852684E+001  1.6589598E+000 2.8479495E+001  1.6344118E+000
4P3/2     240.000  4.5737809E+001  1.6694144E+000 6.1124960E+001  1.6364836E+000
4D3/2     131.000  4.5570191E+001  1.3418961E+000 6.6130222E+001  1.3184170E+000
4D5/2     126.000  6.5466864E+001  1.3391546E+000 9.5449144E+001  1.3284992E+000
4F5/2       7.000  9.3618067E+000  1.0243754E+000 1.6762448E+001  1.0465767E+000
5S1/2      42.000  3.4083693E+000  1.9606637E+000 4.5229252E+000  1.9592446E+000
5P1/2      28.000  3.2770912E+000  1.7063830E+000 4.2767453E+000  1.6885548E+000
5P3/2      25.000  6.5540089E+000  1.7163757E+000 8.7415862E+000  1.6865015E+000
6S1/2       5.000  3.0364689E-001  1.9599293E+000 4.0460146E-001  1.9589590E+000
--------------------------------------------------------------------------------
