Binding energies, Photoelectric cross sections and asymmetry parameters for RE
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3D3/2    1953.000  ---             ---            ---             ---   
3D5/2    1887.000  ---             ---            ---             ---   
4S1/2     629.000  2.4957926E+001  1.8741489E+000 3.1409652E+001  1.8629390E+000
4P1/2     522.000  2.8924774E+001  1.4941852E+000 3.4574475E+001  1.3593439E+000
4P3/2     450.000  7.1558188E+001  1.4879255E+000 9.0539974E+001  1.3580680E+000
4D3/2     278.000  9.1024880E+001  1.1927974E+000 1.2285001E+002  1.1027113E+000
4D5/2     264.000  1.3141083E+002  1.2612557E+000 1.7938801E+002  1.2007547E+000
4F5/2      48.000  6.0328371E+001  1.0409608E+000 1.0063964E+002  1.0176958E+000
4F7/2      45.000  7.6659223E+001  1.0401133E+000 1.2813358E+002  1.0206478E+000
5S1/2      86.000  5.3819235E+000  1.8917127E+000 6.9895873E+000  1.8860419E+000
5P1/2      56.000  5.1983226E+000  1.6361098E+000 6.5062321E+000  1.5855434E+000
5P3/2      44.000  1.1644705E+001  1.6058057E+000 1.5138395E+001  1.5442384E+000
5D3/2       9.000  6.9534421E+000  1.3105813E+000 9.2752386E+000  1.2365233E+000
5D5/2       9.000  9.5891269E+000  1.3578947E+000 1.2921131E+001  1.3107028E+000
6S1/2       8.000  5.3576800E-001  1.8932363E+000 7.0060283E-001  1.8872509E+000
--------------------------------------------------------------------------------
