Binding energies, Photoelectric cross sections and asymmetry parameters for TA
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3D3/2    1796.000  ---             ---            ---             ---   
3D5/2    1737.000  ---             ---            ---             ---   
4S1/2     570.000  2.4254201E+001  1.8926702E+000 3.0582446E+001  1.8832866E+000
4P1/2     469.000  2.8411305E+001  1.5376842E+000 3.4208121E+001  1.4184961E+000
4P3/2     407.000  6.7454899E+001  1.5259366E+000 8.6044508E+001  1.4140474E+000
4D3/2     245.000  8.3690291E+001  1.2250877E+000 1.1439657E+002  1.1519934E+000
4D5/2     232.000  1.2050274E+002  1.2795413E+000 1.6659483E+002  1.2312615E+000
4F5/2      30.000  4.7308161E+001  1.0449594E+000 7.9326991E+001  1.0263299E+000
4F7/2      28.000  5.9980648E+001  1.0427470E+000 1.0085547E+002  1.0278989E+000
5S1/2      74.000  4.8627804E+000  1.9063144E+000 6.3244189E+000  1.9015704E+000
5P1/2      47.000  4.6475087E+000  1.6511324E+000 5.8405299E+000  1.6053625E+000
5P3/2      38.000  1.0130574E+001  1.6278880E+000 1.3177405E+001  1.5697631E+000
5D3/2       8.000  5.1724129E+000  1.3257166E+000 6.9573322E+000  1.2582276E+000
6S1/2       8.000  4.6466321E-001  1.9073527E+000 6.0810161E-001  1.9022868E+000
--------------------------------------------------------------------------------
