Binding energies, Photoelectric cross sections and asymmetry parameters for W
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
3D3/2    1874.000  ---             ---            ---             ---   
3D5/2    1812.000  ---             ---            ---             ---   
4S1/2     599.000  2.4615619E+001  1.8840542E+000 3.1010859E+001  1.8737043E+000
4P1/2     495.000  2.8692347E+001  1.5168835E+000 3.4410249E+001  1.3889766E+000
4P3/2     428.000  6.9463869E+001  1.5077536E+000 8.8241012E+001  1.3861651E+000
4D3/2     261.000  8.7347403E+001  1.2096621E+000 1.1859247E+002  1.1284991E+000
4D5/2     248.000  1.2588804E+002  1.2707224E+000 1.7284748E+002  1.2166864E+000
4F5/2      39.000  5.3728105E+001  1.0430079E+000 8.9744136E+001  1.0217963E+000
4F7/2      36.000  6.8124477E+001  1.0410992E+000 1.1403801E+002  1.0241588E+000
5S1/2      80.000  5.1202860E+000  1.8990208E+000 6.6541562E+000  1.8938158E+000
5P1/2      51.000  4.9203256E+000  1.6446385E+000 6.1719716E+000  1.5960045E+000
5P3/2      41.000  1.0876422E+001  1.6169274E+000 1.4138656E+001  1.5573032E+000
5D3/2       9.000  6.0409770E+000  1.3180231E+000 8.0915864E+000  1.2472436E+000
6S1/2       8.000  5.0012149E-001  1.9003043E+000 6.5427999E-001  1.8947698E+000
--------------------------------------------------------------------------------
