Binding energies, Photoelectric cross sections and asymmetry parameters for ZN
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    9663.000  ---             ---            ---             ---   
2S1/2    1198.000  7.8700235E+001  1.9911698E+000 ---             ---   
2P1/2    1048.000  1.2284505E+002  1.3827865E+000 1.8960789E+002  1.2616126E+000
2P3/2    1025.000  2.3694861E+002  1.4147276E+000 3.6729542E+002  1.2873340E+000
3S1/2     141.000  1.3831954E+001  1.9987093E+000 1.8867153E+001  1.9982562E+000
3P1/2      94.000  1.2581231E+001  1.5246125E+000 1.8558069E+001  1.5581194E+000
3P3/2      91.000  2.4178782E+001  1.5455598E+000 3.5825926E+001  1.5776471E+000
3D3/2      12.000  4.1349696E+000  9.8247880E-001 7.3307496E+000  1.0454050E+000
3D5/2      11.000  6.0155418E+000  9.7220505E-001 1.0681533E+001  1.0346394E+000
4S1/2       9.000  8.3736796E-001  1.9988580E+000 1.1462478E+000  1.9979654E+000
--------------------------------------------------------------------------------
