# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Ag
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       0.7      42.6       0.7       0.1
      10.0       1.6      23.3       1.6       0.1
      15.0       2.2      16.6       2.4       0.1
      20.0       2.3      14.7       2.9       0.1
      25.0       2.3      13.9       3.2       0.1
      30.0       2.2      13.3       3.3       0.1
      35.0       2.0      12.5       3.3       0.1
      40.0       1.9      11.9       3.4       0.1
      45.0       1.8      11.3       3.6       1.8
      50.0       1.8      10.5       3.8       3.4
      55.0       1.8       9.8       4.0       4.7
      60.0       1.8       9.1       4.3       6.0
      65.0       1.8       8.6       4.6       7.0
      70.0       1.8       8.1       5.0       8.0
      75.0       1.8       7.7       5.3       8.9
      80.0       1.9       7.4       5.7       9.8
      85.0       1.9       7.1       6.1      10.6
      90.0       2.0       6.9       6.5      11.3
      95.0       2.1       6.7       6.8      12.1
     100.0       2.1       6.5       7.1      12.7
     105.0       2.2       6.4       7.5      13.4
     110.0       2.2       6.3       7.7      14.0
     115.0       2.3       6.1       8.0      14.6
     120.0       2.4       6.1       8.2      15.1
     125.0       2.4       6.0       8.5      15.7
     130.0       2.5       5.9       8.6      16.3
     135.0       2.5       5.9       8.8      16.8
     140.0       2.6       5.8       9.0      17.3
     145.0       2.6       5.8       9.1      17.8
     150.0       2.7       5.7       9.3      18.4
     155.0       2.7       5.7       9.4      18.9
     160.0       2.8       5.7       9.5      19.4
     165.0       2.8       5.7       9.6      19.9
     170.0       2.9       5.7       9.7      20.4
     175.0       2.9       5.7       9.8      20.8
     180.0       3.0       5.7       9.9      21.3
     185.0       3.0       5.7      10.0      21.8
     190.0       3.1       5.7      10.1      22.3
     195.0       3.1       5.7      10.2      22.8
     200.0       3.2       5.8      10.3      23.3
     205.0       3.2       5.8      10.4      23.8
     210.0       3.3       5.8      10.5      24.3
     215.0       3.3       5.8      10.6      24.8
     220.0       3.4       5.9      10.7      25.3
     225.0       3.4       5.9      10.8      25.8
     230.0       3.4       6.0      10.9      26.3
     235.0       3.5       6.0      11.0      26.8
     240.0       3.5       6.1      11.0      27.3
     245.0       3.6       6.1      11.1      27.8
     250.0       3.6       6.2      11.2      28.3
     255.0       3.6       6.2      11.3      28.8
     260.0       3.7       6.3      11.4      29.3
     265.0       3.7       6.3      11.5      29.8
     270.0       3.7       6.4      11.6      30.4
     275.0       3.8       6.4      11.7      30.9
     280.0       3.8       6.5      11.8      31.4
     285.0       3.8       6.6      11.9      31.9
     290.0       3.9       6.6      12.0      32.4
     295.0       3.9       6.7      12.1      33.0
     300.0       4.0       6.7      12.2      33.5
     305.0       4.0       6.8      12.3      34.0
     310.0       4.0       6.8      12.5      34.6
     315.0       4.1       6.9      12.6      35.1
     320.0       4.1       7.0      12.7      35.7
     325.0       4.1       7.0      12.8      36.2
     330.0       4.2       7.1      12.9      36.7
     335.0       4.2       7.1      13.0      37.3
     340.0       4.2       7.2      13.1      37.9
     345.0       4.2       7.3      13.2      38.4
     350.0       4.3       7.3      13.4      39.0
     355.0       4.3       7.4      13.5      39.5
     360.0       4.3       7.4      13.6      40.1
     365.0       4.4       7.5      13.7      40.7
     370.0       4.4       7.6      13.8      41.2
     375.0       4.4       7.6      13.9      41.8
     380.0       4.5       7.7      14.1      42.4
     385.0       4.5       7.7      14.2      43.0
     390.0       4.5       7.8      14.3      43.5
     395.0       4.5       7.9      14.4      44.1
     400.0       4.6       7.9      14.6      44.7
     405.0       4.6       8.0      14.7      45.3
     410.0       4.6       8.0      14.8      45.9
     415.0       4.7       8.1      14.9      46.5
     420.0       4.7       8.2      15.1      47.1
     425.0       4.7       8.2      15.2      47.7
     430.0       4.7       8.3      15.3      48.3
     435.0       4.8       8.3      15.4      48.9
     440.0       4.8       8.4      15.6      49.5
     445.0       4.8       8.5      15.7      50.1
     450.0       4.8       8.5      15.8      50.7
     455.0       4.9       8.6      16.0      51.4
     460.0       4.9       8.6      16.1      52.0
     465.0       4.9       8.7      16.2      52.6
     470.0       4.9       8.7      16.4      53.2
     475.0       5.0       8.8      16.5      53.9
     480.0       5.0       8.9      16.7      54.5
     485.0       5.0       8.9      16.8      55.1
     490.0       5.0       9.0      16.9      55.8
     495.0       5.1       9.0      17.1      56.4
     500.0       5.1       9.1      17.2      57.1
     505.0       5.1       9.2      17.3      57.7
     510.0       5.1       9.2      17.5      58.3
     515.0       5.2       9.3      17.6      59.0
     520.0       5.2       9.3      17.8      59.7
     525.0       5.2       9.4      17.9      60.3
     530.0       5.2       9.5      18.1      61.0
     535.0       5.3       9.5      18.2      61.6
     540.0       5.3       9.6      18.3      62.3
     545.0       5.3       9.6      18.5      63.0
     550.0       5.3       9.7      18.6      63.7
     555.0       5.4       9.8      18.8      64.3
     560.0       5.4       9.8      18.9      65.0
     565.0       5.4       9.9      19.1      65.7
     570.0       5.4       9.9      19.2      66.4
     575.0       5.4      10.0      19.4      67.1
     580.0       5.5      10.0      19.5      67.7
     585.0       5.5      10.1      19.7      68.4
     590.0       5.5      10.2      19.8      69.1
     595.0       5.5      10.2      20.0      69.8
     600.0       5.6      10.3      20.1      70.5
     605.0       5.6      10.3      20.3      71.2
     610.0       5.6      10.4      20.4      72.0
     615.0       5.6      10.4      20.6      72.7
     620.0       5.6      10.5      20.7      73.4
     625.0       5.7      10.6      20.9      74.1
     630.0       5.7      10.6      21.0      74.8
     635.0       5.7      10.7      21.2      75.5
     640.0       5.7      10.7      21.3      76.3
     645.0       5.7      10.8      21.5      77.0
     650.0       5.8      10.9      21.6      77.7
     655.0       5.8      10.9      21.8      78.4
     660.0       5.8      11.0      22.0      79.2
     665.0       5.8      11.0      22.1      79.9
     670.0       5.9      11.1      22.3      80.7
     675.0       5.9      11.1      22.4      81.4
     680.0       5.9      11.2      22.6      82.2
     685.0       5.9      11.3      22.8      82.9
     690.0       5.9      11.3      22.9      83.7
     695.0       6.0      11.4      23.1      84.4
     700.0       6.0      11.4      23.2      85.2
     705.0       6.0      11.5      23.4      85.9
     710.0       6.0      11.5      23.6      86.7
     715.0       6.0      11.6      23.7      87.4
     720.0       6.1      11.7      23.9      88.2
     725.0       6.1      11.7      24.0      89.0
     730.0       6.1      11.8      24.2      89.8
     735.0       6.1      11.8      24.4      90.5
     740.0       6.1      11.9      24.5      91.3
     745.0       6.2      11.9      24.7      92.1
     750.0       6.2      12.0      24.9      92.9
     755.0       6.2      12.0      25.0      93.6
     760.0       6.2      12.1      25.2      94.4
     765.0       6.2      12.2      25.4      95.2
     770.0       6.2      12.2      25.5      96.0
     775.0       6.3      12.3      25.7      96.8
     780.0       6.3      12.3      25.9      97.6
     785.0       6.3      12.4      26.0      98.4
     790.0       6.3      12.4      26.2      99.1
     795.0       6.3      12.5      26.4      99.9
     800.0       6.4      12.5      26.6     100.7
     805.0       6.4      12.6      26.7     101.5
     810.0       6.4      12.6      26.9     102.4
     815.0       6.4      12.7      27.1     103.2
     820.0       6.4      12.8      27.2     104.0
     825.0       6.5      12.8      27.4     104.8
     830.0       6.5      12.9      27.6     105.6
     835.0       6.5      12.9      27.8     106.4
     840.0       6.5      13.0      27.9     107.2
     845.0       6.5      13.0      28.1     108.1
     850.0       6.5      13.1      28.3     108.9
     855.0       6.6      13.1      28.5     109.7
     860.0       6.6      13.2      28.6     110.5
     865.0       6.6      13.3      28.8     111.4
     870.0       6.6      13.3      29.0     112.2
     875.0       6.6      13.4      29.2     113.1
     880.0       6.7      13.4      29.3     113.9
     885.0       6.7      13.5      29.5     114.7
     890.0       6.7      13.5      29.7     115.6
     895.0       6.7      13.6      29.9     116.4
     900.0       6.7      13.6      30.0     117.3
     905.0       6.7      13.7      30.2     118.1
     910.0       6.8      13.7      30.4     119.0
     915.0       6.8      13.8      30.6     119.9
     920.0       6.8      13.9      30.8     120.7
     925.0       6.8      13.9      30.9     121.6
     930.0       6.8      14.0      31.1     122.5
     935.0       6.8      14.0      31.3     123.3
     940.0       6.9      14.1      31.5     124.2
     945.0       6.9      14.1      31.7     125.0
     950.0       6.9      14.2      31.9     125.9
     955.0       6.9      14.2      32.0     126.7
     960.0       6.9      14.3      32.2     127.5
     965.0       7.0      14.3      32.4     128.4
     970.0       7.0      14.4      32.6     129.2
     975.0       7.0      14.5      32.8     130.1
     980.0       7.0      14.5      33.0     130.9
     985.0       7.0      14.5      33.1     131.8
     990.0       7.0      14.6      33.3     132.7
     995.0       7.1      14.6      33.5     133.5
    1000.0       7.1      14.7      33.7     134.4
    1005.0       7.1      14.7      33.9     135.3
    1010.0       7.1      14.8      34.1     136.1
    1015.0       7.1      14.8      34.3     137.0
    1020.0       7.1      14.9      34.5     137.9
    1025.0       7.2      14.9      34.6     138.8
    1030.0       7.2      15.0      34.8     139.6
    1035.0       7.2      15.0      35.0     140.5
    1040.0       7.2      15.1      35.2     141.4
    1045.0       7.2      15.1      35.4     142.3
    1050.0       7.2      15.2      35.6     143.2
    1055.0       7.3      15.2      35.8     144.1
    1060.0       7.3      15.3      36.0     145.0
    1065.0       7.3      15.3      36.2     145.9
    1070.0       7.3      15.4      36.4     146.8
    1075.0       7.3      15.4      36.5     147.6
    1080.0       7.3      15.5      36.7     148.5
    1085.0       7.4      15.5      36.9     149.4
    1090.0       7.4      15.6      37.1     150.3
    1095.0       7.4      15.6      37.3     151.2
    1100.0       7.4      15.7      37.5     152.1
    1105.0       7.4      15.7      37.7     153.0
    1110.0       7.4      15.8      37.9     153.9
    1115.0       7.5      15.9      38.1     154.8
    1120.0       7.5      15.9      38.3     155.7
    1125.0       7.5      16.0      38.5     156.6
    1130.0       7.5      16.0      38.7     157.5
    1135.0       7.5      16.1      38.9     158.4
    1140.0       7.5      16.1      39.1     159.3
    1145.0       7.5      16.2      39.3     160.2
    1150.0       7.6      16.2      39.5     161.2
    1155.0       7.6      16.3      39.7     162.1
    1160.0       7.6      16.3      39.9     163.0
    1165.0       7.6      16.4      40.1     163.9
    1170.0       7.6      16.4      40.3     164.8
    1175.0       7.6      16.5      40.5     165.7
    1180.0       7.7      16.5      40.7     166.7
    1185.0       7.7      16.6      40.9     167.6
    1190.0       7.7      16.6      41.1     168.5
    1195.0       7.7      16.6      41.3     169.4
    1200.0       7.7      16.7      41.5     170.3
    1205.0       7.7      16.7      41.7     171.3
    1210.0       7.8      16.8      41.9     172.2
    1215.0       7.8      16.8      42.1     173.1
    1220.0       7.8      16.9      42.3     174.1
    1225.0       7.8      16.9      42.5     175.0
    1230.0       7.8      17.0      42.7     175.9
    1235.0       7.8      17.0      42.9     176.9
    1240.0       7.9      17.1      43.1     177.8
    1245.0       7.9      17.1      43.3     178.7
    1250.0       7.9      17.2      43.5     179.7
    1255.0       7.9      17.3      43.7     180.6
    1260.0       7.9      17.3      43.9     181.6
    1265.0       7.9      17.4      44.1     182.6
    1270.0       7.9      17.4      44.3     183.5
    1275.0       8.0      17.5      44.5     184.5
    1280.0       8.0      17.5      44.7     185.4
    1285.0       8.0      17.6      44.9     186.4
    1290.0       8.0      17.6      45.2     187.3
    1295.0       8.0      17.7      45.4     188.3
    1300.0       8.0      17.7      45.6     189.2
    1305.0       8.1      17.8      45.8     190.2
    1310.0       8.1      17.8      46.0     191.2
    1315.0       8.1      17.9      46.2     192.1
    1320.0       8.1      17.9      46.4     193.1
    1325.0       8.1      18.0      46.6     194.0
    1330.0       8.1      18.0      46.8     195.0
    1335.0       8.1      18.1      47.0     196.0
    1340.0       8.2      18.1      47.2     196.9
    1345.0       8.2      18.2      47.5     197.9
    1350.0       8.2      18.2      47.7     198.9
    1355.0       8.2      18.3      47.9     199.8
    1360.0       8.2      18.3      48.1     200.8
    1365.0       8.2      18.4      48.3     201.8
    1370.0       8.2      18.4      48.5     202.8
    1375.0       8.3      18.5      48.7     203.7
    1380.0       8.3      18.5      49.0     204.7
    1385.0       8.3      18.5      49.2     205.7
    1390.0       8.3      18.6      49.4     206.7
    1395.0       8.3      18.6      49.6     207.7
    1400.0       8.3      18.7      49.8     208.6
    1405.0       8.4      18.7      50.0     209.6
    1410.0       8.4      18.8      50.2     210.6
    1415.0       8.4      18.8      50.5     211.6
    1420.0       8.4      18.9      50.7     212.6
    1425.0       8.4      18.9      50.9     213.6
    1430.0       8.4      19.0      51.1     214.6
    1435.0       8.4      19.0      51.3     215.6
    1440.0       8.5      19.1      51.5     216.6
    1445.0       8.5      19.1      51.8     217.6
    1450.0       8.5      19.2      52.0     218.6
    1455.0       8.5      19.2      52.2     219.6
    1460.0       8.5      19.3      52.4     220.6
    1465.0       8.5      19.3      52.6     221.6
    1470.0       8.5      19.4      52.9     222.7
    1475.0       8.6      19.4      53.1     223.7
    1480.0       8.6      19.5      53.3     224.7
    1485.0       8.6      19.5      53.5     225.7
    1490.0       8.6      19.6      53.7     226.7
    1495.0       8.6      19.6      54.0     227.7
    1500.0       8.6      19.7      54.2     228.7
    1505.0       8.6      19.7      54.4     229.8
    1510.0       8.7      19.8      54.6     230.8
    1515.0       8.7      19.8      54.8     231.8
    1520.0       8.7      19.9      55.1     232.8
    1525.0       8.7      19.9      55.3     233.9
    1530.0       8.7      20.0      55.5     234.9
    1535.0       8.7      20.0      55.7     235.9
    1540.0       8.7      20.1      56.0     236.9
    1545.0       8.8      20.1      56.2     238.0
    1550.0       8.8      20.2      56.4     239.0
    1555.0       8.8      20.2      56.6     240.0
    1560.0       8.8      20.3      56.9     241.1
    1565.0       8.8      20.3      57.1     242.1
    1570.0       8.8      20.4      57.3     243.2
    1575.0       8.8      20.4      57.5     244.2
    1580.0       8.9      20.5      57.8     245.2
    1585.0       8.9      20.5      58.0     246.3
    1590.0       8.9      20.6      58.2     247.3
    1595.0       8.9      20.6      58.4     248.3
    1600.0       8.9      20.7      58.7     249.4
    1605.0       8.9      20.7      58.9     250.5
    1610.0       8.9      20.8      59.1     251.5
    1615.0       9.0      20.8      59.4     252.6
    1620.0       9.0      20.9      59.6     253.6
    1625.0       9.0      20.9      59.8     254.7
    1630.0       9.0      21.0      60.1     255.7
    1635.0       9.0      21.0      60.3     256.8
    1640.0       9.0      21.0      60.5     257.9
    1645.0       9.0      21.1      60.7     258.9
    1650.0       9.1      21.1      61.0     260.0
    1655.0       9.1      21.2      61.2     261.1
    1660.0       9.1      21.2      61.4     262.1
    1665.0       9.1      21.3      61.7     263.2
    1670.0       9.1      21.3      61.9     264.3
