# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Al
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0      11.5     594.8      19.8       0.1
      10.0       9.0     367.6      14.2       0.1
      15.0       7.0     244.9      10.7       0.1
      20.0       5.8     155.4       8.6       0.1
      25.0       5.2      28.6       7.4       0.1
      30.0       4.8       5.3       6.7       0.1
      35.0       4.5       4.2       6.4       0.1
      40.0       4.4       4.0       6.2       0.1
      45.0       4.3       3.9       6.2       1.2
      50.0       4.3       3.9       6.2       2.4
      55.0       4.3       3.9       6.4       3.6
      60.0       4.4       4.0       6.5       4.8
      65.0       4.4       4.1       6.7       6.0
      70.0       4.5       4.2       7.0       7.2
      75.0       4.5       4.3       7.2       8.4
      80.0       4.6       4.4       7.5       9.7
      85.0       4.6       4.5       7.8      10.9
      90.0       4.7       4.7       8.1      12.2
      95.0       4.8       4.8       8.4      13.5
     100.0       4.9       4.9       8.7      14.8
     105.0       4.9       5.0       9.1      16.1
     110.0       5.0       5.2       9.4      17.4
     115.0       5.1       5.3       9.8      18.8
     120.0       5.2       5.4      10.2      20.1
     125.0       5.3       5.6      10.5      21.5
     130.0       5.3       5.7      10.9      22.9
     135.0       5.4       5.8      11.3      24.3
     140.0       5.5       5.9      11.7      25.7
     145.0       5.6       6.1      12.1      27.1
     150.0       5.7       6.2      12.5      28.5
     155.0       5.7       6.3      12.9      29.9
     160.0       5.8       6.4      13.4      31.3
     165.0       5.9       6.6      13.8      32.7
     170.0       6.0       6.7      14.2      34.1
     175.0       6.1       6.8      14.7      35.5
     180.0       6.1       6.9      15.1      36.9
     185.0       6.2       7.0      15.6      38.4
     190.0       6.3       7.1      16.0      39.8
     195.0       6.4       7.3      16.5      41.2
     200.0       6.5       7.4      17.0      42.6
     205.0       6.5       7.5      17.5      44.1
     210.0       6.6       7.6      17.9      45.5
     215.0       6.7       7.7      18.4      46.9
     220.0       6.8       7.8      18.9      48.4
     225.0       6.8       7.9      19.4      49.8
     230.0       6.9       8.0      19.9      51.3
     235.0       7.0       8.1      20.4      52.7
     240.0       7.1       8.2      20.9      54.2
     245.0       7.1       8.3      21.4      55.6
     250.0       7.2       8.4      22.0      57.1
     255.0       7.3       8.5      22.5      58.5
     260.0       7.4       8.6      23.0      60.0
     265.0       7.4       8.7      23.5      61.5
     270.0       7.5       8.8      24.1      62.9
     275.0       7.6       8.9      24.6      64.4
     280.0       7.7       9.0      25.2      65.9
     285.0       7.7       9.1      25.7      67.3
     290.0       7.8       9.2      26.3      68.8
     295.0       7.9       9.3      26.8      70.3
     300.0       8.0       9.4      27.4      71.8
     305.0       8.0       9.5      28.0      73.3
     310.0       8.1       9.6      28.5      74.8
     315.0       8.2       9.7      29.1      76.2
     320.0       8.2       9.8      29.7      77.7
     325.0       8.3       9.9      30.3      79.2
     330.0       8.4      10.0      30.9      80.7
     335.0       8.5      10.1      31.5      82.2
     340.0       8.5      10.2      32.1      83.8
     345.0       8.6      10.3      32.7      85.3
     350.0       8.7      10.4      33.3      86.8
     355.0       8.7      10.5      33.9      88.3
     360.0       8.8      10.6      34.5      89.8
     365.0       8.9      10.7      35.1      91.4
     370.0       8.9      10.8      35.7      92.9
     375.0       9.0      10.9      36.4      94.4
     380.0       9.1      11.0      37.0      96.0
     385.0       9.1      11.1      37.6      97.6
     390.0       9.2      11.2      38.3      99.1
     395.0       9.3      11.3      38.9     100.7
     400.0       9.3      11.4      39.6     102.3
     405.0       9.4      11.5      40.2     103.9
     410.0       9.5      11.6      40.9     105.5
     415.0       9.6      11.7      41.5     107.1
     420.0       9.6      11.8      42.2     108.7
     425.0       9.7      11.9      42.9     110.3
     430.0       9.8      12.0      43.5     111.9
     435.0       9.8      12.1      44.2     113.6
     440.0       9.9      12.2      44.9     115.2
     445.0       9.9      12.3      45.6     116.8
     450.0      10.0      12.4      46.2     118.3
     455.0      10.1      12.5      46.9     119.9
     460.0      10.1      12.6      47.6     121.6
     465.0      10.2      12.7      48.3     123.2
     470.0      10.3      12.8      49.0     124.8
     475.0      10.3      12.9      49.7     126.4
     480.0      10.4      12.9      50.4     128.1
     485.0      10.5      13.0      51.1     129.7
     490.0      10.5      13.1      51.9     131.3
     495.0      10.6      13.2      52.6     133.0
     500.0      10.7      13.3      53.3     134.6
     505.0      10.7      13.4      54.0     136.3
     510.0      10.8      13.5      54.7     138.0
     515.0      10.9      13.6      55.5     139.6
     520.0      10.9      13.7      56.2     141.3
     525.0      11.0      13.7      57.0     143.0
     530.0      11.0      13.8      57.7     144.7
     535.0      11.1      13.9      58.4     146.4
     540.0      11.2      14.0      59.2     148.1
     545.0      11.2      14.1      60.0     149.8
     550.0      11.3      14.2      60.7     151.5
     555.0      11.4      14.3      61.5     153.2
     560.0      11.4      14.4      62.2     154.9
     565.0      11.5      14.5      63.0     156.6
     570.0      11.5      14.6      63.8     158.3
     575.0      11.6      14.7      64.5     160.0
     580.0      11.7      14.8      65.3     161.8
     585.0      11.7      14.9      66.1     163.5
     590.0      11.8      14.9      66.9     165.2
     595.0      11.9      15.0      67.7     167.0
     600.0      11.9      15.1      68.5     168.7
     605.0      12.0      15.2      69.3     170.5
     610.0      12.0      15.3      70.1     172.2
     615.0      12.1      15.4      70.9     174.0
     620.0      12.2      15.5      71.7     175.8
     625.0      12.2      15.6      72.5     177.6
     630.0      12.3      15.7      73.3     179.3
     635.0      12.3      15.8      74.1     181.1
     640.0      12.4      15.9      74.9     182.9
     645.0      12.5      15.9      75.8     184.7
     650.0      12.5      16.0      76.6     186.6
     655.0      12.6      16.1      77.4     188.4
     660.0      12.6      16.2      78.3     190.2
     665.0      12.7      16.3      79.1     192.0
     670.0      12.8      16.4      79.9     193.9
     675.0      12.8      16.5      80.8     195.7
     680.0      12.9      16.6      81.6     197.6
     685.0      12.9      16.7      82.5     199.4
     690.0      13.0      16.8      83.3     201.3
     695.0      13.1      16.9      84.2     203.2
     700.0      13.1      16.9      85.1     205.1
     705.0      13.2      17.0      85.9     206.9
     710.0      13.2      17.1      86.8     208.8
     715.0      13.3      17.2      87.7     210.7
     720.0      13.4      17.3      88.5     212.6
     725.0      13.4      17.4      89.4     214.6
     730.0      13.5      17.5      90.3     216.5
     735.0      13.5      17.6      91.2     218.4
     740.0      13.6      17.7      92.1     220.3
     745.0      13.6      17.8      93.0     222.2
     750.0      13.7      17.9      93.8     224.1
     755.0      13.8      17.9      94.7     226.0
     760.0      13.8      18.0      95.6     227.9
     765.0      13.9      18.1      96.6     229.8
     770.0      13.9      18.2      97.5     231.7
     775.0      14.0      18.3      98.4     233.6
     780.0      14.1      18.4      99.3     235.6
     785.0      14.1      18.5     100.2     237.5
     790.0      14.2      18.5     101.1     239.4
     795.0      14.2      18.6     102.0     241.4
     800.0      14.3      18.7     103.0     243.3
     805.0      14.3      18.8     103.9     245.3
     810.0      14.4      18.9     104.8     247.3
     815.0      14.5      19.0     105.8     249.2
     820.0      14.5      19.1     106.7     251.2
     825.0      14.6      19.1     107.7     253.2
     830.0      14.6      19.2     108.6     255.2
     835.0      14.7      19.3     109.5     257.2
     840.0      14.7      19.4     110.5     259.2
     845.0      14.8      19.5     111.5     261.2
     850.0      14.9      19.6     112.4     263.2
     855.0      14.9      19.7     113.4     265.2
     860.0      15.0      19.8     114.4     267.3
     865.0      15.0      19.8     115.3     269.3
     870.0      15.1      19.9     116.3     271.3
     875.0      15.1      20.0     117.3     273.4
     880.0      15.2      20.1     118.3     275.4
     885.0      15.3      20.2     119.2     277.5
     890.0      15.3      20.3     120.2     279.5
     895.0      15.4      20.4     121.2     281.6
     900.0      15.4      20.5     122.2     283.7
     905.0      15.5      20.5     123.2     285.8
     910.0      15.5      20.6     124.2     287.9
     915.0      15.6      20.7     125.2     289.9
     920.0      15.6      20.8     126.2     292.1
     925.0      15.7      20.9     127.2     294.2
     930.0      15.8      21.0     128.2     296.3
     935.0      15.8      21.1     129.2     298.4
     940.0      15.9      21.2     130.2     300.5
     945.0      15.9      21.2     131.3     302.6
     950.0      16.0      21.3     132.3     304.7
     955.0      16.0      21.4     133.3     306.8
     960.0      16.1      21.5     134.3     309.0
     965.0      16.1      21.6     135.4     311.1
     970.0      16.2      21.7     136.4     313.2
     975.0      16.3      21.8     137.5     315.4
