# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Au
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       4.9      52.3       4.2       0.1
      10.0       7.4      31.7       4.8       0.1
      15.0       6.2      25.0       4.5       0.1
      20.0       4.3      21.2       3.8       0.1
      25.0       3.1      18.8       3.3       0.1
      30.0       2.4      17.3       3.0       0.1
      35.0       2.1      16.2       2.9       0.1
      40.0       1.9      15.4       3.0       0.1
      45.0       1.8      14.6       3.1       1.9
      50.0       1.7      13.5       3.4       3.4
      55.0       1.7      12.4       3.8       4.7
      60.0       1.7      11.3       4.1       5.8
      65.0       1.7      10.3       4.6       6.7
      70.0       1.7       9.4       5.0       7.6
      75.0       1.7       8.6       5.5       8.4
      80.0       1.7       7.9       6.0       9.1
      85.0       1.7       7.4       6.5       9.8
      90.0       1.7       7.0       7.0      10.5
      95.0       1.7       6.6       7.5      11.1
     100.0       1.7       6.4       8.0      11.6
     105.0       1.7       6.1       8.6      12.2
     110.0       1.7       6.0       9.1      12.7
     115.0       1.7       5.8       9.6      13.3
     120.0       1.8       5.7      10.1      13.8
     125.0       1.8       5.6      10.6      14.3
     130.0       1.8       5.5      11.0      14.7
     135.0       1.8       5.5      11.5      15.2
     140.0       1.9       5.4      11.9      15.7
     145.0       1.9       5.4      12.2      16.2
     150.0       1.9       5.3      12.6      16.6
     155.0       1.9       5.3      12.9      17.1
     160.0       2.0       5.3      13.2      17.6
     165.0       2.0       5.3      13.4      18.0
     170.0       2.0       5.3      13.7      18.5
     175.0       2.0       5.3      13.9      18.9
     180.0       2.1       5.3      14.0      19.4
     185.0       2.1       5.3      14.2      19.8
     190.0       2.1       5.4      14.3      20.3
     195.0       2.2       5.4      14.4      20.7
     200.0       2.2       5.4      14.5      21.2
     205.0       2.2       5.5      14.6      21.6
     210.0       2.3       5.5      14.6      22.1
     215.0       2.3       5.5      14.7      22.5
     220.0       2.3       5.6      14.7      23.0
     225.0       2.4       5.6      14.7      23.4
     230.0       2.4       5.6      14.7      23.9
     235.0       2.4       5.7      14.8      24.3
     240.0       2.5       5.7      14.8      24.8
     245.0       2.5       5.8      14.8      25.3
     250.0       2.5       5.8      14.8      25.7
     255.0       2.6       5.9      14.8      26.2
     260.0       2.6       5.9      14.8      26.7
     265.0       2.6       6.0      14.8      27.1
     270.0       2.7       6.0      14.7      27.6
     275.0       2.7       6.1      14.7      28.1
     280.0       2.7       6.1      14.7      28.5
     285.0       2.8       6.2      14.7      29.0
     290.0       2.8       6.2      14.7      29.5
     295.0       2.8       6.3      14.7      30.0
     300.0       2.9       6.3      14.7      30.5
     305.0       2.9       6.4      14.7      30.9
     310.0       2.9       6.4      14.7      31.4
     315.0       3.0       6.5      14.7      31.9
     320.0       3.0       6.5      14.7      32.4
     325.0       3.0       6.6      14.7      32.9
     330.0       3.1       6.6      14.7      33.4
     335.0       3.1       6.7      14.7      33.9
     340.0       3.1       6.7      14.7      34.4
     345.0       3.1       6.8      14.7      34.9
     350.0       3.2       6.8      14.7      35.4
     355.0       3.2       6.9      14.7      35.9
     360.0       3.2       7.0      14.8      36.4
     365.0       3.3       7.0      14.8      36.9
     370.0       3.3       7.1      14.8      37.4
     375.0       3.3       7.1      14.8      37.9
     380.0       3.3       7.2      14.8      38.4
     385.0       3.4       7.2      14.9      38.9
     390.0       3.4       7.3      14.9      39.5
     395.0       3.4       7.3      14.9      40.0
     400.0       3.5       7.4      14.9      40.5
     405.0       3.5       7.4      15.0      41.0
     410.0       3.5       7.5      15.0      41.6
     415.0       3.5       7.5      15.0      42.1
