# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Be
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       3.5      81.2       3.1       0.1
      10.0       2.9      63.6       2.7       0.1
      15.0       2.8      48.1       2.8       0.1
      20.0       2.9      34.6       3.1       0.1
      25.0       3.0      21.5       3.5       0.1
      30.0       3.1      11.2       3.9       0.1
      35.0       3.3       6.3       4.4       0.1
      40.0       3.4       4.8       4.9       0.1
      45.0       3.6       4.3       5.4       1.0
      50.0       3.8       4.1       6.0       2.0
      55.0       3.9       4.0       6.6       2.9
      60.0       4.1       4.0       7.2       3.9
      65.0       4.3       4.0       7.9       4.8
      70.0       4.4       4.0       8.6       5.8
      75.0       4.6       4.0       9.3       6.7
      80.0       4.8       4.1      10.0       7.7
      85.0       4.9       4.2      10.8       8.6
      90.0       5.1       4.3      11.6       9.6
      95.0       5.3       4.4      12.4      10.5
     100.0       5.4       4.5      13.3      11.5
     105.0       5.6       4.6      14.1      12.5
     110.0       5.8       4.7      15.0      13.6
     115.0       5.9       4.8      15.9      14.6
     120.0       6.1       4.9      16.9      15.6
     125.0       6.3       5.0      17.8      16.6
     130.0       6.4       5.1      18.8      17.7
     135.0       6.6       5.2      19.8      18.8
     140.0       6.8       5.3      20.8      19.9
     145.0       6.9       5.4      21.9      20.9
     150.0       7.1       5.5      22.9      22.0
     155.0       7.3       5.6      24.0      23.2
     160.0       7.4       5.7      25.1      24.3
     165.0       7.6       5.8      26.3      25.4
     170.0       7.8       5.9      27.4      26.6
     175.0       7.9       6.0      28.6      27.8
     180.0       8.1       6.1      29.8      28.9
     185.0       8.3       6.3      31.0      30.1
     190.0       8.4       6.4      32.3      31.3
     195.0       8.6       6.5      33.5      32.5
     200.0       8.8       6.6      34.9      33.8
     205.0       8.9       6.7      36.2      35.0
     210.0       9.1       6.8      37.5      36.2
     215.0       9.2       6.9      38.8      37.5
     220.0       9.4       7.0      40.2      38.7
     225.0       9.6       7.1      41.6      40.0
     230.0       9.7       7.2      43.0      41.2
     235.0       9.9       7.3      44.4      42.5
     240.0      10.1       7.4      45.9      43.8
     245.0      10.2       7.5      47.4      45.1
     250.0      10.4       7.6      48.9      46.4
     255.0      10.6       7.7      50.4      47.7
     260.0      10.7       7.8      51.9      49.0
     265.0      10.9       7.9      53.5      50.3
     270.0      11.1       8.0      55.1      51.6
     275.0      11.2       8.1      56.6      52.9
     280.0      11.4       8.2      58.3      54.2
     285.0      11.6       8.3      59.9      55.6
     290.0      11.7       8.4      61.6      56.9
     295.0      11.9       8.5      63.2      58.3
     300.0      12.1       8.5      64.9      59.6
     305.0      12.2       8.6      66.7      61.0
     310.0      12.4       8.7      68.4      62.4
     315.0      12.6       8.8      70.1      63.7
     320.0      12.7       8.9      71.9      65.1
     325.0      12.9       9.0      73.7      66.5
     330.0      13.1       9.1      75.5      67.9
     335.0      13.2       9.2      77.3      69.3
     340.0      13.4       9.3      79.2      70.7
     345.0      13.5       9.4      81.1      72.2
     350.0      13.7       9.5      83.0      73.6
     355.0      13.9       9.6      84.8      75.0
     360.0      14.0       9.7      86.8      76.4
     365.0      14.2       9.8      88.7      77.9
     370.0      14.4       9.8      90.7      79.3
     375.0      14.5       9.9      92.7      80.8
     380.0      14.7      10.0      94.7      82.3
