# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Co
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       1.5      70.1       2.0       0.1
      10.0       0.7      39.5       0.7       0.1
      15.0       1.3      22.7       1.2       0.1
      20.0       2.0      16.7       2.0       0.1
      25.0       2.5      15.7       2.7       0.1
      30.0       2.8      12.7       3.2       0.1
      35.0       2.8      11.2       3.6       0.1
      40.0       2.8       9.8       3.8       0.1
      45.0       2.8       8.9       4.0       1.9
      50.0       2.7       8.6       4.1       3.6
      55.0       2.7       8.7       4.2       5.2
      60.0       2.6       7.8       4.3       6.7
      65.0       2.6       7.8       4.3       8.2
      70.0       2.6       7.5       4.4       9.6
      75.0       2.5       7.4       4.4      10.9
      80.0       2.5       7.4       4.5      12.2
      85.0       2.5       7.3       4.5      13.4
      90.0       2.5       7.3       4.6      14.6
      95.0       2.5       7.3       4.7      15.8
     100.0       2.5       7.4       4.8      16.8
     105.0       2.5       7.5       4.9      17.9
     110.0       2.5       7.5       4.9      18.9
     115.0       2.6       7.5       5.0      19.9
     120.0       2.6       7.5       5.1      20.9
     125.0       2.6       7.5       5.2      21.8
     130.0       2.6       7.6       5.3      22.8
     135.0       2.6       7.6       5.4      23.7
     140.0       2.7       7.6       5.5      24.6
     145.0       2.7       7.6       5.6      25.5
     150.0       2.7       7.7       5.8      26.4
     155.0       2.7       7.7       5.9      27.2
     160.0       2.7       7.7       6.0      28.1
     165.0       2.8       7.8       6.1      28.9
     170.0       2.8       7.8       6.2      29.8
     175.0       2.8       7.8       6.4      30.6
     180.0       2.9       7.9       6.5      31.5
     185.0       2.9       7.9       6.6      32.3
     190.0       2.9       8.0       6.7      33.1
     195.0       2.9       8.0       6.9      33.9
     200.0       3.0       8.1       7.0      34.7
     205.0       3.0       8.2       7.1      35.5
     210.0       3.0       8.2       7.2      36.3
     215.0       3.0       8.3       7.4      37.1
     220.0       3.1       8.3       7.5      37.9
     225.0       3.1       8.4       7.7      38.7
     230.0       3.1       8.5       7.8      39.5
     235.0       3.1       8.5       7.9      40.3
     240.0       3.2       8.6       8.1      41.1
     245.0       3.2       8.7       8.2      41.9
     250.0       3.2       8.7       8.4      42.7
     255.0       3.3       8.8       8.5      43.5
     260.0       3.3       8.9       8.6      44.3
     265.0       3.3       8.9       8.8      45.1
     270.0       3.3       9.0       8.9      45.8
     275.0       3.4       9.1       9.1      46.6
     280.0       3.4       9.2       9.2      47.4
     285.0       3.4       9.2       9.4      48.2
     290.0       3.4       9.3       9.5      49.0
     295.0       3.5       9.4       9.7      49.8
     300.0       3.5       9.4       9.8      50.6
     305.0       3.5       9.5      10.0      51.4
     310.0       3.5       9.6      10.1      52.1
     315.0       3.6       9.7      10.3      52.9
     320.0       3.6       9.7      10.4      53.7
     325.0       3.6       9.8      10.6      54.5
     330.0       3.7       9.9      10.8      55.3
     335.0       3.7       9.9      10.9      56.1
     340.0       3.7      10.0      11.1      56.9
     345.0       3.7      10.1      11.2      57.7
     350.0       3.8      10.2      11.4      58.5
     355.0       3.8      10.2      11.6      59.3
     360.0       3.8      10.3      11.7      60.1
     365.0       3.8      10.4      11.9      60.9
     370.0       3.9      10.5      12.1      61.7
     375.0       3.9      10.5      12.2      62.5
     380.0       3.9      10.6      12.4      63.3
     385.0       3.9      10.7      12.6      64.2
     390.0       4.0      10.8      12.7      65.0
     395.0       4.0      10.8      12.9      65.8
     400.0       4.0      10.9      13.1      66.6
     405.0       4.0      11.0      13.2      67.4
     410.0       4.1      11.1      13.4      68.2
     415.0       4.1      11.1      13.6      69.1
     420.0       4.1      11.2      13.8      69.9
     425.0       4.1      11.3      13.9      70.7
     430.0       4.1      11.4      14.1      71.5
     435.0       4.2      11.5      14.3      72.4
     440.0       4.2      11.5      14.5      73.2
     445.0       4.2      11.6      14.6      74.0
     450.0       4.2      11.7      14.8      74.9
     455.0       4.3      11.8      15.0      75.7
     460.0       4.3      11.8      15.2      76.6
     465.0       4.3      11.9      15.4      77.4
     470.0       4.3      12.0      15.5      78.2
     475.0       4.4      12.1      15.7      79.1
     480.0       4.4      12.1      15.9      79.9
     485.0       4.4      12.2      16.1      80.8
     490.0       4.4      12.3      16.3      81.7
     495.0       4.4      12.4      16.5      82.5
     500.0       4.5      12.4      16.6      83.4
     505.0       4.5      12.5      16.8      84.2
     510.0       4.5      12.6      17.0      85.1
     515.0       4.5      12.7      17.2      86.0
     520.0       4.6      12.7      17.4      86.8
     525.0       4.6      12.8      17.6      87.7
     530.0       4.6      12.9      17.8      88.6
     535.0       4.6      13.0      18.0      89.5
     540.0       4.6      13.0      18.2      90.3
     545.0       4.7      13.1      18.3      91.2
     550.0       4.7      13.2      18.5      92.1
     555.0       4.7      13.3      18.7      93.0
     560.0       4.7      13.3      18.9      93.9
     565.0       4.8      13.4      19.1      94.8
     570.0       4.8      13.5      19.3      95.7
     575.0       4.8      13.6      19.5      96.6
     580.0       4.8      13.6      19.7      97.5
     585.0       4.8      13.7      19.9      98.4
     590.0       4.9      13.8      20.1      99.3
     595.0       4.9      13.9      20.3     100.2
     600.0       4.9      13.9      20.5     101.1
     605.0       4.9      14.0      20.7     102.0
     610.0       4.9      14.1      20.9     102.9
     615.0       5.0      14.2      21.1     103.8
     620.0       5.0      14.3      21.3     104.8
     625.0       5.0      14.3      21.5     105.7
     630.0       5.0      14.4      21.7     106.6
     635.0       5.0      14.5      21.9     107.5
     640.0       5.1      14.6      22.1     108.5
     645.0       5.1      14.6      22.3     109.4
     650.0       5.1      14.7      22.6     110.4
     655.0       5.1      14.8      22.8     111.3
     660.0       5.2      14.9      23.0     112.2
     665.0       5.2      14.9      23.2     113.2
     670.0       5.2      15.0      23.4     114.1
     675.0       5.2      15.1      23.6     115.1
     680.0       5.2      15.1      23.8     116.0
     685.0       5.3      15.2      24.0     117.0
     690.0       5.3      15.3      24.2     118.0
     695.0       5.3      15.4      24.5     118.9
     700.0       5.3      15.4      24.7     119.9
     705.0       5.3      15.5      24.9     120.9
     710.0       5.4      15.6      25.1     121.8
     715.0       5.4      15.7      25.3     122.8
     720.0       5.4      15.7      25.5     123.8
     725.0       5.4      15.8      25.8     124.7
     730.0       5.4      15.9      26.0     125.7
     735.0       5.4      16.0      26.2     126.7
     740.0       5.5      16.0      26.4     127.7
     745.0       5.5      16.1      26.6     128.7
     750.0       5.5      16.2      26.8     129.7
     755.0       5.5      16.3      27.1     130.7
     760.0       5.5      16.3      27.3     131.7
     765.0       5.6      16.4      27.5     132.7
     770.0       5.6      16.5      27.7     133.7
     775.0       5.6      16.6      28.0     134.7
     780.0       5.6      16.6      28.2     135.7
     785.0       5.6      16.7      28.4     136.7
     790.0       5.7      16.8      28.6     137.7
     795.0       5.7      16.9      28.9     138.7
     800.0       5.7      16.9      29.1     139.8
     805.0       5.7      17.0      29.3     140.8
     810.0       5.7      17.1      29.6     141.8
     815.0       5.8      17.2      29.8     142.8
     820.0       5.8      17.2      30.0     143.9
     825.0       5.8      17.3      30.2     144.9
     830.0       5.8      17.4      30.5     145.9
     835.0       5.8      17.4      30.7     147.0
     840.0       5.8      17.5      30.9     148.0
     845.0       5.9      17.6      31.2     149.1
     850.0       5.9      17.7      31.4     150.1
     855.0       5.9      17.7      31.6     151.2
     860.0       5.9      17.8      31.9     152.2
     865.0       5.9      17.9      32.1     153.3
     870.0       6.0      18.0      32.3     154.3
     875.0       6.0      18.0      32.6     155.4
     880.0       6.0      18.1      32.8     156.5
     885.0       6.0      18.2      33.1     157.5
     890.0       6.0      18.3      33.3     158.6
     895.0       6.0      18.3      33.5     159.7
     900.0       6.1      18.4      33.8     160.8
     905.0       6.1      18.5      34.0     161.8
     910.0       6.1      18.5      34.3     162.9
     915.0       6.1      18.6      34.5     164.0
     920.0       6.1      18.7      34.8     165.1
     925.0       6.2      18.8      35.0     166.2
     930.0       6.2      18.8      35.2     167.3
     935.0       6.2      18.9      35.5     168.4
     940.0       6.2      19.0      35.7     169.5
     945.0       6.2      19.0      36.0     170.6
     950.0       6.2      19.1      36.2     171.7
     955.0       6.3      19.2      36.5     172.8
     960.0       6.3      19.3      36.7     173.9
     965.0       6.3      19.3      37.0     175.0
     970.0       6.3      19.4      37.2     176.1
     975.0       6.3      19.5      37.5     177.3
     980.0       6.3      19.6      37.7     178.4
     985.0       6.4      19.6      38.0     179.5
     990.0       6.4      19.7      38.2     180.6
     995.0       6.4      19.8      38.5     181.8
    1000.0       6.4      19.8      38.7     182.9
    1005.0       6.4      19.9      39.0     184.1
    1010.0       6.5      20.0      39.2     185.2
    1015.0       6.5      20.1      39.5     186.4
    1020.0       6.5      20.1      39.7     187.5
    1025.0       6.5      20.2      40.0     188.7
    1030.0       6.5      20.3      40.3     189.9
    1035.0       6.5      20.3      40.5     191.0
    1040.0       6.6      20.4      40.8     192.2
    1045.0       6.6      20.5      41.0     193.3
    1050.0       6.6      20.6      41.3     194.5
    1055.0       6.6      20.6      41.5     195.7
    1060.0       6.6      20.7      41.8     196.9
    1065.0       6.6      20.8      42.1     198.1
    1070.0       6.7      20.8      42.3     199.2
    1075.0       6.7      20.9      42.6     200.4
    1080.0       6.7      21.0      42.8     201.6
    1085.0       6.7      21.1      43.1     202.8
    1090.0       6.7      21.1      43.4     204.0
    1095.0       6.7      21.2      43.6     205.2
    1100.0       6.8      21.3      43.9     206.4
    1105.0       6.8      21.3      44.2     207.6
    1110.0       6.8      21.4      44.4     208.8
    1115.0       6.8      21.5      44.7     210.0
    1120.0       6.8      21.6      45.0     211.2
    1125.0       6.8      21.6      45.2     212.4
    1130.0       6.9      21.7      45.5     213.6
    1135.0       6.9      21.8      45.8     214.9
    1140.0       6.9      21.8      46.0     216.1
    1145.0       6.9      21.9      46.3     217.3
    1150.0       6.9      22.0      46.6     218.5
    1155.0       6.9      22.1      46.8     219.8
    1160.0       7.0      22.1      47.1     221.0
    1165.0       7.0      22.2      47.4     222.2
    1170.0       7.0      22.3      47.7     223.5
    1175.0       7.0      22.3      47.9     224.7
    1180.0       7.0      22.4      48.2     226.0
    1185.0       7.0      22.5      48.5     227.2
    1190.0       7.1      22.5      48.8     228.4
    1195.0       7.1      22.6      49.0     229.7
    1200.0       7.1      22.7      49.3     231.0
    1205.0       7.1      22.8      49.6     232.2
    1210.0       7.1      22.8      49.9     233.5
    1215.0       7.1      22.9      50.1     234.8
    1220.0       7.2      23.0      50.4     236.0
    1225.0       7.2      23.0      50.7     237.3
    1230.0       7.2      23.1      51.0     238.6
    1235.0       7.2      23.2      51.3     239.8
    1240.0       7.2      23.3      51.5     241.1
    1245.0       7.2      23.3      51.8     242.4
    1250.0       7.3      23.4      52.1     243.7
    1255.0       7.3      23.5      52.4     245.0
    1260.0       7.3      23.5      52.7     246.3
    1265.0       7.3      23.6      53.0     247.6
    1270.0       7.3      23.7      53.2     248.9
    1275.0       7.3      23.7      53.5     250.2
    1280.0       7.4      23.8      53.8     251.5
    1285.0       7.4      23.9      54.1     252.7
    1290.0       7.4      23.9      54.4     254.0
    1295.0       7.4      24.0      54.7     255.3
    1300.0       7.4      24.1      55.0     256.7
    1305.0       7.4      24.2      55.2     258.0
    1310.0       7.5      24.2      55.5     259.3
    1315.0       7.5      24.3      55.8     260.6
    1320.0       7.5      24.4      56.1     262.0
    1325.0       7.5      24.4      56.4     263.3
    1330.0       7.5      24.5      56.7     264.6
    1335.0       7.5      24.6      57.0     265.9
    1340.0       7.5      24.6      57.3     267.3
    1345.0       7.6      24.7      57.6     268.6
    1350.0       7.6      24.8      57.9     269.9
    1355.0       7.6      24.9      58.2     271.3
    1360.0       7.6      24.9      58.5     272.7
    1365.0       7.6      25.0      58.7     274.0
    1370.0       7.6      25.1      59.0     275.4
    1375.0       7.7      25.1      59.3     276.7
    1380.0       7.7      25.2      59.6     278.1
    1385.0       7.7      25.3      59.9     279.4
    1390.0       7.7      25.3      60.2     280.8
    1395.0       7.7      25.4      60.5     282.1
    1400.0       7.7      25.5      60.8     283.5
    1405.0       7.8      25.5      61.1     284.9
    1410.0       7.8      25.6      61.4     286.3
    1415.0       7.8      25.7      61.7     287.7
    1420.0       7.8      25.8      62.0     289.0
    1425.0       7.8      25.8      62.3     290.4
    1430.0       7.8      25.9      62.6     291.8
    1435.0       7.8      26.0      62.9     293.2
    1440.0       7.9      26.0      63.2     294.6
    1445.0       7.9      26.1      63.5     295.9
    1450.0       7.9      26.2      63.8     297.4
    1455.0       7.9      26.2      64.1     298.8
    1460.0       7.9      26.3      64.4     300.2
    1465.0       7.9      26.4      64.8     301.6
    1470.0       8.0      26.4      65.1     303.0
    1475.0       8.0      26.5      65.4     304.4
    1480.0       8.0      26.6      65.7     305.8
    1485.0       8.0      26.6      66.0     307.2
    1490.0       8.0      26.7      66.3     308.6
    1495.0       8.0      26.8      66.6     310.0
    1500.0       8.0      26.8      66.9     311.5
    1505.0       8.1      26.9      67.2     312.9
    1510.0       8.1      27.0      67.5     314.3
    1515.0       8.1      27.1      67.8     315.8
    1520.0       8.1      27.1      68.1     317.2
    1525.0       8.1      27.2      68.5     318.7
    1530.0       8.1      27.3      68.8     320.1
    1535.0       8.2      27.3      69.1     321.5
    1540.0       8.2      27.4      69.4     323.0
    1545.0       8.2      27.5      69.7     324.4
    1550.0       8.2      27.5      70.0     325.9
    1555.0       8.2      27.6      70.3     327.3
    1560.0       8.2      27.7      70.7     328.8
    1565.0       8.2      27.7      71.0     330.3
    1570.0       8.3      27.8      71.3     331.7
    1575.0       8.3      27.9      71.6     333.2
    1580.0       8.3      27.9      71.9     334.6
    1585.0       8.3      28.0      72.2     336.1
