# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Cr
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       2.3      90.9       2.5       0.1
      10.0       1.2      44.5       1.3       0.1
      15.0       0.9      21.0       1.1       0.1
      20.0       0.9      14.4       1.3       0.1
      25.0       1.0      11.7       1.7       0.1
      30.0       1.2      10.1       2.2       0.1
      35.0       1.3       8.9       2.6       0.1
      40.0       1.5       7.8       3.0       0.1
      45.0       1.6       6.8       3.3       1.2
      50.0       1.7       6.1       3.5       2.3
      55.0       1.8       5.7       3.7       3.3
      60.0       1.8       5.4       3.9       4.3
      65.0       1.9       5.2       4.0       5.2
      70.0       2.0       5.1       4.2       6.1
      75.0       2.0       5.0       4.3       7.0
      80.0       2.1       5.0       4.4       7.8
      85.0       2.2       5.0       4.6       8.6
      90.0       2.2       5.0       4.7       9.5
      95.0       2.3       5.0       4.8      10.3
     100.0       2.3       5.0       5.0      11.0
     105.0       2.4       5.0       5.1      11.8
     110.0       2.4       5.1       5.2      12.6
     115.0       2.5       5.1       5.4      13.3
     120.0       2.5       5.1       5.5      14.1
     125.0       2.6       5.2       5.6      14.9
     130.0       2.6       5.2       5.8      15.6
     135.0       2.7       5.3       5.9      16.3
     140.0       2.7       5.4       6.0      17.1
     145.0       2.8       5.4       6.2      17.8
     150.0       2.8       5.5       6.3      18.6
     155.0       2.8       5.5       6.5      19.3
     160.0       2.9       5.6       6.6      20.1
     165.0       2.9       5.7       6.8      20.8
     170.0       3.0       5.7       6.9      21.5
     175.0       3.0       5.8       7.1      22.3
     180.0       3.0       5.9       7.2      23.0
     185.0       3.1       5.9       7.4      23.7
     190.0       3.1       6.0       7.5      24.5
     195.0       3.2       6.1       7.7      25.2
     200.0       3.2       6.1       7.9      26.0
     205.0       3.2       6.2       8.0      26.7
     210.0       3.3       6.3       8.2      27.5
     215.0       3.3       6.3       8.3      28.2
     220.0       3.4       6.4       8.5      29.0
     225.0       3.4       6.5       8.7      29.7
     230.0       3.4       6.6       8.9      30.5
     235.0       3.5       6.6       9.0      31.2
     240.0       3.5       6.7       9.2      32.0
     245.0       3.5       6.8       9.4      32.8
     250.0       3.6       6.8       9.5      33.5
     255.0       3.6       6.9       9.7      34.3
     260.0       3.6       7.0       9.9      35.1
     265.0       3.7       7.1      10.1      35.9
     270.0       3.7       7.1      10.2      36.6
     275.0       3.8       7.2      10.4      37.4
     280.0       3.8       7.3      10.6      38.2
     285.0       3.8       7.4      10.8      39.0
     290.0       3.9       7.4      11.0      39.8
     295.0       3.9       7.5      11.2      40.6
     300.0       3.9       7.6      11.3      41.4
     305.0       4.0       7.6      11.5      42.2
     310.0       4.0       7.7      11.7      43.0
     315.0       4.0       7.8      11.9      43.8
     320.0       4.0       7.9      12.1      44.6
     325.0       4.1       7.9      12.3      45.4
     330.0       4.1       8.0      12.5      46.2
     335.0       4.1       8.1      12.7      47.1
     340.0       4.2       8.2      12.9      47.9
     345.0       4.2       8.2      13.1      48.7
     350.0       4.2       8.3      13.3      49.5
     355.0       4.3       8.4      13.5      50.4
     360.0       4.3       8.4      13.7      51.2
     365.0       4.3       8.5      13.9      52.1
     370.0       4.4       8.6      14.1      52.9
     375.0       4.4       8.7      14.3      53.7
     380.0       4.4       8.7      14.5      54.6
     385.0       4.4       8.8      14.7      55.5
     390.0       4.5       8.9      14.9      56.3
     395.0       4.5       8.9      15.1      57.2
     400.0       4.5       9.0      15.3      58.0
     405.0       4.6       9.1      15.5      58.9
     410.0       4.6       9.2      15.7      59.8
     415.0       4.6       9.2      15.9      60.7
     420.0       4.6       9.3      16.1      61.6
     425.0       4.7       9.4      16.4      62.4
     430.0       4.7       9.4      16.6      63.3
     435.0       4.7       9.5      16.8      64.2
     440.0       4.8       9.6      17.0      65.1
     445.0       4.8       9.7      17.2      66.0
     450.0       4.8       9.7      17.4      66.9
     455.0       4.8       9.8      17.7      67.8
     460.0       4.9       9.9      17.9      68.7
     465.0       4.9       9.9      18.1      69.7
     470.0       4.9      10.0      18.3      70.6
     475.0       5.0      10.1      18.5      71.5
     480.0       5.0      10.2      18.8      72.4
     485.0       5.0      10.2      19.0      73.4
     490.0       5.0      10.3      19.2      74.3
     495.0       5.1      10.4      19.4      75.2
     500.0       5.1      10.4      19.7      76.2
     505.0       5.1      10.5      19.9      77.1
     510.0       5.1      10.6      20.1      78.1
     515.0       5.2      10.7      20.4      79.0
     520.0       5.2      10.7      20.6      80.0
     525.0       5.2      10.8      20.8      80.9
     530.0       5.2      10.9      21.1      81.9
     535.0       5.3      10.9      21.3      82.9
     540.0       5.3      11.0      21.5      83.8
     545.0       5.3      11.1      21.8      84.8
     550.0       5.3      11.1      22.0      85.8
     555.0       5.4      11.2      22.3      86.8
     560.0       5.4      11.3      22.5      87.8
     565.0       5.4      11.4      22.7      88.8
     570.0       5.4      11.4      23.0      89.8
