# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Cu
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       1.1      51.8       1.0       0.1
      10.0       3.9      28.5       2.6       0.1
      15.0       6.6      17.9       4.0       0.1
      20.0       7.9      13.7       5.1       0.1
      25.0       7.6      11.3       5.9       0.1
      30.0       6.6       9.8       6.3       0.1
      35.0       5.7       8.6       6.3       0.1
      40.0       5.0       7.8       6.2       0.1
      45.0       4.5       7.2       6.0       1.5
      50.0       4.1       6.9       5.8       2.9
      55.0       3.8       6.5       5.7       4.1
      60.0       3.5       6.3       5.5       5.3
      65.0       3.4       6.1       5.4       6.5
      70.0       3.2       6.0       5.3       7.6
      75.0       3.1       5.9       5.3       8.6
      80.0       3.0       5.9       5.3       9.6
      85.0       3.0       5.9       5.2      10.6
      90.0       2.9       5.9       5.3      11.6
      95.0       2.9       5.9       5.3      12.5
     100.0       2.9       5.9       5.3      13.4
     105.0       2.9       5.9       5.4      14.3
     110.0       2.9       6.0       5.4      15.2
     115.0       2.8       6.0       5.5      16.1
     120.0       2.8       6.0       5.5      16.9
     125.0       2.8       6.1       5.6      17.8
     130.0       2.9       6.1       5.7      18.6
     135.0       2.9       6.2       5.8      19.4
     140.0       2.9       6.2       5.9      20.2
     145.0       2.9       6.3       5.9      21.0
     150.0       2.9       6.3       6.0      21.8
     155.0       2.9       6.4       6.1      22.6
     160.0       2.9       6.4       6.2      23.4
     165.0       2.9       6.5       6.3      24.2
     170.0       3.0       6.6       6.5      25.0
     175.0       3.0       6.6       6.6      25.8
     180.0       3.0       6.7       6.7      26.6
     185.0       3.0       6.7       6.8      27.3
     190.0       3.0       6.8       6.9      28.1
     195.0       3.1       6.9       7.0      28.9
     200.0       3.1       6.9       7.2      29.6
     205.0       3.1       7.0       7.3      30.4
     210.0       3.1       7.1       7.4      31.2
     215.0       3.2       7.1       7.5      31.9
     220.0       3.2       7.2       7.6      32.7
     225.0       3.2       7.3       7.8      33.4
     230.0       3.2       7.3       7.9      34.2
     235.0       3.3       7.4       8.0      34.9
     240.0       3.3       7.4       8.2      35.7
     245.0       3.3       7.5       8.3      36.4
     250.0       3.3       7.6       8.4      37.2
     255.0       3.3       7.6       8.6      37.9
     260.0       3.4       7.7       8.7      38.6
     265.0       3.4       7.8       8.8      39.4
     270.0       3.4       7.8       9.0      40.1
     275.0       3.4       7.9       9.1      40.9
     280.0       3.5       8.0       9.3      41.6
     285.0       3.5       8.0       9.4      42.4
     290.0       3.5       8.1       9.6      43.1
     295.0       3.5       8.2       9.7      43.8
     300.0       3.6       8.2       9.8      44.6
     305.0       3.6       8.3      10.0      45.3
     310.0       3.6       8.4      10.1      46.1
     315.0       3.6       8.4      10.3      46.8
     320.0       3.7       8.5      10.4      47.5
     325.0       3.7       8.6      10.6      48.3
     330.0       3.7       8.6      10.7      49.0
     335.0       3.7       8.7      10.9      49.8
     340.0       3.8       8.8      11.0      50.5
     345.0       3.8       8.8      11.2      51.3
     350.0       3.8       8.9      11.4      52.0
     355.0       3.8       9.0      11.5      52.8
     360.0       3.9       9.0      11.7      53.5
     365.0       3.9       9.1      11.8      54.3
     370.0       3.9       9.2      12.0      55.0
     375.0       3.9       9.2      12.1      55.8
     380.0       4.0       9.3      12.3      56.5
     385.0       4.0       9.4      12.5      57.3
     390.0       4.0       9.4      12.6      58.0
     395.0       4.0       9.5      12.8      58.8
     400.0       4.0       9.6      12.9      59.5
     405.0       4.1       9.6      13.1      60.3
