# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Fe
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       2.5      62.9       2.8       0.1
      10.0       0.8      33.3       0.9       0.1
      15.0       0.9      20.5       1.0       0.1
      20.0       1.3      14.4       1.5       0.1
      25.0       1.6      11.2       2.1       0.1
      30.0       1.9       9.1       2.6       0.1
      35.0       2.1       7.6       3.1       0.1
      40.0       2.2       6.6       3.4       0.1
      45.0       2.2       5.9       3.6       1.3
      50.0       2.3       5.5       3.8       2.5
      55.0       2.3       5.3       4.0       3.6
      60.0       2.3       5.2       4.1       4.7
      65.0       2.3       5.1       4.2       5.7
      70.0       2.4       5.1       4.3       6.7
      75.0       2.4       5.1       4.4       7.7
      80.0       2.4       5.1       4.5       8.6
      85.0       2.4       5.1       4.6       9.5
      90.0       2.4       5.1       4.7      10.4
      95.0       2.5       5.2       4.8      11.2
     100.0       2.5       5.2       4.9      12.0
     105.0       2.5       5.2       5.0      12.9
     110.0       2.5       5.3       5.1      13.7
     115.0       2.6       5.3       5.2      14.5
     120.0       2.6       5.3       5.3      15.2
     125.0       2.6       5.4       5.4      16.0
     130.0       2.6       5.4       5.5      16.8
     135.0       2.7       5.5       5.6      17.5
     140.0       2.7       5.5       5.8      18.3
     145.0       2.7       5.6       5.9      19.1
     150.0       2.8       5.6       6.0      19.8
     155.0       2.8       5.7       6.1      20.5
     160.0       2.8       5.7       6.3      21.3
     165.0       2.9       5.8       6.4      22.0
     170.0       2.9       5.8       6.5      22.8
     175.0       2.9       5.9       6.7      23.5
     180.0       2.9       6.0       6.8      24.2
     185.0       3.0       6.0       6.9      24.9
     190.0       3.0       6.1       7.1      25.7
     195.0       3.0       6.2       7.2      26.4
     200.0       3.1       6.2       7.4      27.1
     205.0       3.1       6.3       7.5      27.8
     210.0       3.1       6.3       7.6      28.6
     215.0       3.2       6.4       7.8      29.3
     220.0       3.2       6.5       7.9      30.0
     225.0       3.2       6.5       8.1      30.7
     230.0       3.3       6.6       8.2      31.5
     235.0       3.3       6.7       8.4      32.2
     240.0       3.3       6.7       8.5      32.9
     245.0       3.4       6.8       8.7      33.7
     250.0       3.4       6.9       8.8      34.4
     255.0       3.4       6.9       9.0      35.1
     260.0       3.4       7.0       9.2      35.9
     265.0       3.5       7.1       9.3      36.6
     270.0       3.5       7.1       9.5      37.3
     275.0       3.5       7.2       9.6      38.1
     280.0       3.6       7.3       9.8      38.8
     285.0       3.6       7.3      10.0      39.5
     290.0       3.6       7.4      10.1      40.3
     295.0       3.6       7.5      10.3      41.0
     300.0       3.7       7.5      10.4      41.8
     305.0       3.7       7.6      10.6      42.5
     310.0       3.7       7.7      10.8      43.3
     315.0       3.8       7.7      10.9      44.0
     320.0       3.8       7.8      11.1      44.8
     325.0       3.8       7.9      11.3      45.5
     330.0       3.8       7.9      11.5      46.3
     335.0       3.9       8.0      11.6      47.0
     340.0       3.9       8.1      11.8      47.8
     345.0       3.9       8.1      12.0      48.6
     350.0       4.0       8.2      12.2      49.3
     355.0       4.0       8.3      12.3      50.1
     360.0       4.0       8.4      12.5      50.9
     365.0       4.0       8.4      12.7      51.7
     370.0       4.1       8.5      12.9      52.4
     375.0       4.1       8.6      13.0      53.2
     380.0       4.1       8.6      13.2      54.0
     385.0       4.2       8.7      13.4      54.8
     390.0       4.2       8.8      13.6      55.6
     395.0       4.2       8.8      13.8      56.3
     400.0       4.2       8.9      14.0      57.1
     405.0       4.3       9.0      14.1      57.9
     410.0       4.3       9.0      14.3      58.7
     415.0       4.3       9.1      14.5      59.5
     420.0       4.3       9.2      14.7      60.3
     425.0       4.4       9.2      14.9      61.1
     430.0       4.4       9.3      15.1      61.9
     435.0       4.4       9.4      15.3      62.8
     440.0       4.4       9.4      15.5      63.6
     445.0       4.5       9.5      15.7      64.4
     450.0       4.5       9.6      15.8      65.2
     455.0       4.5       9.6      16.0      66.0
     460.0       4.5       9.7      16.2      66.9
     465.0       4.6       9.8      16.4      67.7
     470.0       4.6       9.8      16.6      68.5
     475.0       4.6       9.9      16.8      69.3
     480.0       4.6      10.0      17.0      70.2
     485.0       4.7      10.0      17.2      71.0
     490.0       4.7      10.1      17.4      71.9
     495.0       4.7      10.2      17.6      72.7
     500.0       4.7      10.2      17.8      73.6
     505.0       4.8      10.3      18.0      74.4
     510.0       4.8      10.4      18.2      75.3
     515.0       4.8      10.4      18.4      76.1
     520.0       4.8      10.5      18.6      77.0
     525.0       4.8      10.6      18.8      77.8
     530.0       4.9      10.6      19.1      78.7
     535.0       4.9      10.7      19.3      79.6
     540.0       4.9      10.8      19.5      80.4
     545.0       4.9      10.8      19.7      81.3
     550.0       5.0      10.9      19.9      82.2
     555.0       5.0      11.0      20.1      83.1
     560.0       5.0      11.0      20.3      84.0
     565.0       5.0      11.1      20.5      84.9
     570.0       5.1      11.2      20.7      85.7
     575.0       5.1      11.2      20.9      86.6
     580.0       5.1      11.3      21.2      87.5
     585.0       5.1      11.4      21.4      88.4
     590.0       5.1      11.4      21.6      89.3
     595.0       5.2      11.5      21.8      90.2
     600.0       5.2      11.6      22.0      91.1
     605.0       5.2      11.6      22.3      92.1
     610.0       5.2      11.7      22.5      93.0
     615.0       5.3      11.8      22.7      93.9
     620.0       5.3      11.8      22.9      94.8
     625.0       5.3      11.9      23.1      95.7
     630.0       5.3      12.0      23.4      96.7
     635.0       5.3      12.0      23.6      97.6
     640.0       5.4      12.1      23.8      98.5
     645.0       5.4      12.2      24.0      99.5
     650.0       5.4      12.2      24.3     100.4
     655.0       5.4      12.3      24.5     101.3
