# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Ir
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       2.6      92.2       2.0       0.1
      10.0       3.3      43.6       2.7       0.1
      15.0       3.0      25.1       2.8       0.1
      20.0       2.5      19.6       2.7       0.1
      25.0       2.0      16.3       2.5       0.1
      30.0       1.7      14.2       2.5       0.1
      35.0       1.5      12.9       2.5       0.1
      40.0       1.4      11.9       2.7       0.1
      45.0       1.4      10.9       2.9       1.2
      50.0       1.3       9.7       3.2       2.3
      55.0       1.3       8.6       3.5       3.3
      60.0       1.3       7.6       3.9       4.1
      65.0       1.3       6.8       4.3       5.0
      70.0       1.3       6.2       4.8       5.7
      75.0       1.3       5.8       5.2       6.4
      80.0       1.3       5.6       5.7       7.1
      85.0       1.3       5.4       6.2       7.8
      90.0       1.4       5.2       6.7       8.4
      95.0       1.4       5.2       7.2       9.0
     100.0       1.4       5.1       7.7       9.6
     105.0       1.4       5.0       8.2      10.2
     110.0       1.4       5.0       8.7      10.7
     115.0       1.4       4.9       9.2      11.2
     120.0       1.5       4.9       9.6      11.8
     125.0       1.5       4.9      10.0      12.3
     130.0       1.5       4.9      10.4      12.8
     135.0       1.5       4.9      10.7      13.3
     140.0       1.5       4.9      11.0      13.8
     145.0       1.6       4.9      11.3      14.3
     150.0       1.6       4.9      11.5      14.8
     155.0       1.6       4.9      11.7      15.3
     160.0       1.6       4.9      11.9      15.8
     165.0       1.7       4.9      12.0      16.3
     170.0       1.7       5.0      12.1      16.8
     175.0       1.7       5.0      12.2      17.3
     180.0       1.8       5.0      12.3      17.8
     185.0       1.8       5.1      12.3      18.3
     190.0       1.8       5.1      12.4      18.8
     195.0       1.8       5.1      12.4      19.3
     200.0       1.9       5.2      12.4      19.8
     205.0       1.9       5.2      12.4      20.3
     210.0       1.9       5.3      12.4      20.8
     215.0       2.0       5.3      12.4      21.3
     220.0       2.0       5.4      12.4      21.8
     225.0       2.0       5.4      12.4      22.3
     230.0       2.0       5.5      12.3      22.8
     235.0       2.1       5.5      12.3      23.3
     240.0       2.1       5.6      12.3      23.8
     245.0       2.1       5.6      12.3      24.4
     250.0       2.2       5.7      12.3      24.9
     255.0       2.2       5.7      12.2      25.4
     260.0       2.2       5.8      12.2      25.9
     265.0       2.2       5.8      12.2      26.4
     270.0       2.3       5.9      12.2      26.9
     275.0       2.3       5.9      12.1      27.5
     280.0       2.3       6.0      12.1      28.0
     285.0       2.4       6.1      12.1      28.5
     290.0       2.4       6.1      12.1      29.0
     295.0       2.4       6.2      12.1      29.6
     300.0       2.4       6.2      12.1      30.1
     305.0       2.5       6.3      12.1      30.6
     310.0       2.5       6.3      12.1      31.2
     315.0       2.5       6.4      12.0      31.7
     320.0       2.5       6.4      12.0      32.3
     325.0       2.6       6.5      12.0      32.8
     330.0       2.6       6.5      12.0      33.3
     335.0       2.6       6.6      12.0      33.9
     340.0       2.6       6.7      12.1      34.4
     345.0       2.7       6.7      12.1      35.0
     350.0       2.7       6.8      12.1      35.5
     355.0       2.7       6.8      12.1      36.1
     360.0       2.7       6.9      12.1      36.6
     365.0       2.8       6.9      12.1      37.2
     370.0       2.8       7.0      12.1      37.7
     375.0       2.8       7.0      12.1      38.3
     380.0       2.8       7.1      12.2      38.9
     385.0       2.9       7.1      12.2      39.4
     390.0       2.9       7.2      12.2      40.0
     395.0       2.9       7.2      12.2      40.5
     400.0       2.9       7.3      12.2      41.1
     405.0       3.0       7.3      12.3      41.7
     410.0       3.0       7.4      12.3      42.3
     415.0       3.0       7.5      12.3      42.8
     420.0       3.0       7.5      12.4      43.4
     425.0       3.0       7.6      12.4      44.0
     430.0       3.1       7.6      12.4      44.5
     435.0       3.1       7.7      12.5      45.1
     440.0       3.1       7.7      12.5      45.7
     445.0       3.1       7.8      12.5      46.3
