# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Mo
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       1.3      99.6       1.5       0.1
      10.0       0.9      72.5       1.2       0.1
      15.0       0.9      41.2       1.5       0.1
      20.0       1.0      23.6       2.0       0.1
      25.0       1.1      18.2       2.6       0.1
      30.0       1.2      15.4       3.1       0.1
      35.0       1.2      13.4       3.6       0.1
      40.0       1.3      11.3       4.0       0.1
      45.0       1.3       9.2       4.5       1.3
      50.0       1.4       7.8       5.0       2.4
      55.0       1.4       7.0       5.5       3.4
      60.0       1.4       6.6       6.0       4.4
      65.0       1.5       6.2       6.4       5.3
      70.0       1.5       6.0       6.8       6.1
      75.0       1.6       5.7       7.2       6.9
      80.0       1.7       5.6       7.5       7.7
      85.0       1.7       5.5       7.8       8.4
      90.0       1.8       5.4       8.0       9.1
      95.0       1.8       5.3       8.2       9.8
     100.0       1.9       5.3       8.3      10.5
     105.0       1.9       5.3       8.5      11.2
     110.0       2.0       5.2       8.6      11.9
     115.0       2.1       5.2       8.7      12.5
     120.0       2.1       5.2       8.7      13.2
     125.0       2.2       5.2       8.8      13.8
     130.0       2.3       5.2       8.8      14.5
     135.0       2.3       5.3       8.9      15.1
     140.0       2.4       5.3       8.9      15.8
     145.0       2.4       5.3       9.0      16.4
     150.0       2.5       5.4       9.0      17.1
     155.0       2.5       5.4       9.1      17.7
     160.0       2.6       5.5       9.1      18.4
     165.0       2.7       5.5       9.2      19.1
     170.0       2.7       5.6       9.2      19.7
     175.0       2.8       5.7       9.3      20.4
     180.0       2.8       5.7       9.3      21.1
     185.0       2.9       5.8       9.4      21.7
     190.0       2.9       5.9       9.4      22.4
     195.0       3.0       5.9       9.5      23.1
     200.0       3.0       6.0       9.6      23.8
     205.0       3.1       6.1       9.6      24.4
     210.0       3.1       6.1       9.7      25.1
     215.0       3.1       6.2       9.8      25.8
     220.0       3.2       6.3       9.9      26.5
     225.0       3.2       6.4       9.9      27.2
     230.0       3.3       6.4      10.0      27.9
     235.0       3.3       6.5      10.1      28.7
     240.0       3.4       6.6      10.2      29.4
     245.0       3.4       6.6      10.3      30.1
     250.0       3.4       6.7      10.4      30.8
     255.0       3.5       6.8      10.5      31.5
     260.0       3.5       6.9      10.6      32.3
     265.0       3.6       6.9      10.6      33.0
     270.0       3.6       7.0      10.7      33.8
     275.0       3.6       7.1      10.8      34.5
     280.0       3.7       7.2      10.9      35.3
     285.0       3.7       7.2      11.0      36.0
     290.0       3.7       7.3      11.2      36.8
     295.0       3.8       7.4      11.3      37.6
     300.0       3.8       7.5      11.4      38.3
     305.0       3.8       7.5      11.5      39.1
     310.0       3.9       7.6      11.6      39.9
     315.0       3.9       7.7      11.7      40.7
     320.0       3.9       7.8      11.8      41.5
     325.0       4.0       7.8      11.9      42.3
     330.0       4.0       7.9      12.0      43.1
     335.0       4.0       8.0      12.2      43.9
     340.0       4.1       8.1      12.3      44.7
     345.0       4.1       8.1      12.4      45.5
     350.0       4.1       8.2      12.5      46.3
     355.0       4.2       8.3      12.6      47.2
     360.0       4.2       8.4      12.8      48.0
     365.0       4.2       8.4      12.9      48.8
     370.0       4.2       8.5      13.0      49.7
     375.0       4.3       8.6      13.1      50.5
     380.0       4.3       8.7      13.2      51.4
     385.0       4.3       8.7      13.4      52.2
     390.0       4.4       8.8      13.5      53.1
     395.0       4.4       8.9      13.6      54.0
     400.0       4.4       9.0      13.8      54.8
     405.0       4.4       9.0      13.9      55.7
     410.0       4.5       9.1      14.0      56.6
     415.0       4.5       9.2      14.2      57.5
     420.0       4.5       9.3      14.3      58.4
     425.0       4.5       9.3      14.4      59.3
     430.0       4.6       9.4      14.6      60.2
     435.0       4.6       9.5      14.7      61.1
     440.0       4.6       9.6      14.8      62.0
     445.0       4.6       9.6      15.0      62.9
     450.0       4.7       9.7      15.1      63.8
     455.0       4.7       9.8      15.2      64.7
     460.0       4.7       9.8      15.4      65.6
     465.0       4.7       9.9      15.5      66.6
     470.0       4.8      10.0      15.7      67.5
     475.0       4.8      10.1      15.8      68.4
     480.0       4.8      10.1      15.9      69.4
     485.0       4.8      10.2      16.1      70.3
     490.0       4.9      10.3      16.2      71.3
     495.0       4.9      10.4      16.4      72.2
     500.0       4.9      10.4      16.5      73.2
     505.0       4.9      10.5      16.7      74.2
     510.0       4.9      10.6      16.8      75.1
     515.0       5.0      10.6      17.0      76.1
     520.0       5.0      10.7      17.1      77.1
