# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Nb
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       1.4      69.8       1.7       0.1
      10.0       1.0      50.1       1.5       0.1
      15.0       1.0      32.7       1.9       0.1
      20.0       1.1      23.6       2.5       0.1
      25.0       1.2      19.2       3.2       0.1
      30.0       1.3      16.2       3.8       0.1
      35.0       1.4      13.2       4.5       0.1
      40.0       1.5      10.7       5.1       0.1
      45.0       1.5       9.3       5.8       1.8
      50.0       1.6       8.6       6.4       3.3
      55.0       1.6       8.2       7.0       4.7
      60.0       1.7       8.0       7.6       5.9
      65.0       1.8       7.8       8.1       6.9
      70.0       1.8       7.7       8.6       7.9
      75.0       1.9       7.5       9.0       8.8
      80.0       2.0       7.3       9.3       9.7
      85.0       2.0       7.0       9.5      10.5
      90.0       2.1       6.8       9.7      11.3
      95.0       2.2       6.5       9.8      12.1
     100.0       2.2       6.4       9.9      12.8
     105.0       2.3       6.2      10.0      13.6
     110.0       2.4       6.1      10.1      14.3
     115.0       2.4       6.0      10.1      15.0
     120.0       2.5       6.0      10.2      15.7
     125.0       2.6       6.0      10.2      16.4
     130.0       2.7       6.0      10.2      17.1
     135.0       2.7       6.0      10.3      17.9
     140.0       2.8       6.0      10.3      18.6
     145.0       2.9       6.1      10.3      19.3
     150.0       2.9       6.1      10.4      20.0
     155.0       3.0       6.2      10.4      20.7
     160.0       3.1       6.2      10.4      21.4
     165.0       3.1       6.3      10.5      22.2
     170.0       3.2       6.4      10.5      22.9
     175.0       3.2       6.4      10.6      23.6
     180.0       3.3       6.5      10.7      24.4
     185.0       3.4       6.6      10.7      25.1
     190.0       3.4       6.7      10.8      25.8
     195.0       3.5       6.7      10.9      26.6
     200.0       3.5       6.8      10.9      27.4
     205.0       3.6       6.9      11.0      28.1
     210.0       3.6       7.0      11.1      28.9
     215.0       3.7       7.1      11.2      29.6
     220.0       3.7       7.2      11.3      30.4
     225.0       3.8       7.2      11.4      31.2
     230.0       3.8       7.3      11.5      32.0
     235.0       3.9       7.4      11.6      32.8
     240.0       3.9       7.5      11.7      33.6
     245.0       4.0       7.6      11.8      34.4
     250.0       4.0       7.7      11.9      35.2
     255.0       4.1       7.7      12.0      36.0
     260.0       4.1       7.8      12.1      36.8
     265.0       4.2       7.9      12.2      37.6
     270.0       4.2       8.0      12.3      38.5
     275.0       4.2       8.1      12.4      39.3
     280.0       4.3       8.2      12.6      40.1
     285.0       4.3       8.3      12.7      41.0
     290.0       4.4       8.3      12.8      41.8
     295.0       4.4       8.4      12.9      42.7
     300.0       4.4       8.5      13.1      43.5
     305.0       4.5       8.6      13.2      44.4
     310.0       4.5       8.7      13.3      45.3
     315.0       4.5       8.8      13.4      46.2
     320.0       4.6       8.9      13.6      47.0
     325.0       4.6       8.9      13.7      47.9
     330.0       4.7       9.0      13.8      48.8
     335.0       4.7       9.1      14.0      49.7
     340.0       4.7       9.2      14.1      50.6
     345.0       4.8       9.3      14.3      51.5
     350.0       4.8       9.4      14.4      52.5
     355.0       4.8       9.5      14.5      53.4
     360.0       4.9       9.5      14.7      54.3
     365.0       4.9       9.6      14.8      55.2
     370.0       4.9       9.7      15.0      56.2
     375.0       5.0       9.8      15.1      57.1
     380.0       5.0       9.9      15.3      58.1
     385.0       5.0      10.0      15.4      59.0
     390.0       5.0      10.0      15.6      60.0
     395.0       5.1      10.1      15.7      61.0
     400.0       5.1      10.2      15.9      61.9
     405.0       5.1      10.3      16.0      62.9
     410.0       5.2      10.4      16.2      63.9
     415.0       5.2      10.5      16.3      64.9
     420.0       5.2      10.5      16.5      65.9
     425.0       5.3      10.6      16.7      66.9
     430.0       5.3      10.7      16.8      67.9
     435.0       5.3      10.8      17.0      68.9
     440.0       5.3      10.9      17.1      69.9
     445.0       5.4      11.0      17.3      70.9
     450.0       5.4      11.0      17.5      71.9
     455.0       5.4      11.1      17.6      72.9
     460.0       5.5      11.2      17.8      73.9
     465.0       5.5      11.3      18.0      75.0
     470.0       5.5      11.4      18.1      76.0
     475.0       5.5      11.5      18.3      77.0
     480.0       5.6      11.5      18.5      78.1
     485.0       5.6      11.6      18.6      79.1
     490.0       5.6      11.7      18.8      80.2
     495.0       5.6      11.8      19.0      81.2
     500.0       5.7      11.9      19.1      82.3
     505.0       5.7      11.9      19.3      83.4
     510.0       5.7      12.0      19.5      84.4
     515.0       5.8      12.1      19.7      85.5
     520.0       5.8      12.2      19.8      86.6
     525.0       5.8      12.3      20.0      87.6
     530.0       5.8      12.3      20.2      88.7
     535.0       5.9      12.4      20.4      89.8
     540.0       5.9      12.5      20.5      90.9
     545.0       5.9      12.6      20.7      92.0
     550.0       5.9      12.7      20.9      93.1
     555.0       6.0      12.7      21.1      94.1
     560.0       6.0      12.8      21.3      95.2
     565.0       6.0      12.9      21.4      96.4
     570.0       6.0      13.0      21.6      97.5
     575.0       6.1      13.0      21.8      98.6
     580.0       6.1      13.1      22.0      99.7
     585.0       6.1      13.2      22.2     100.8
     590.0       6.1      13.3      22.3     101.9
     595.0       6.1      13.4      22.5     103.0
     600.0       6.2      13.4      22.7     104.1
     605.0       6.2      13.5      22.9     105.3
     610.0       6.2      13.6      23.1     106.4
     615.0       6.2      13.7      23.3     107.5
     620.0       6.3      13.7      23.5     108.7
     625.0       6.3      13.8      23.7     109.8
     630.0       6.3      13.9      23.8     110.9
     635.0       6.3      14.0      24.0     112.1
     640.0       6.4      14.0      24.2     113.2
     645.0       6.4      14.1      24.4     114.4
     650.0       6.4      14.2      24.6     115.5
     655.0       6.4      14.3      24.8     116.7
     660.0       6.4      14.3      25.0     117.8
     665.0       6.5      14.4      25.2     119.0
     670.0       6.5      14.5      25.4     120.2
     675.0       6.5      14.6      25.6     121.3
     680.0       6.5      14.6      25.8     122.5
     685.0       6.6      14.7      26.0     123.7
     690.0       6.6      14.8      26.2     124.9
     695.0       6.6      14.9      26.4     126.0
     700.0       6.6      14.9      26.6     127.2
     705.0       6.7      15.0      26.8     128.4
     710.0       6.7      15.1      27.0     129.6
     715.0       6.7      15.2      27.2     130.8
     720.0       6.7      15.2      27.4     131.9
     725.0       6.7      15.3      27.6     133.1
     730.0       6.8      15.4      27.8     134.3
     735.0       6.8      15.4      28.0     135.5
     740.0       6.8      15.5      28.2     136.7
     745.0       6.8      15.6      28.4     137.9
     750.0       6.8      15.7      28.6     139.1
     755.0       6.9      15.7      28.8     140.3
     760.0       6.9      15.8      29.0     141.6
     765.0       6.9      15.9      29.2     142.8
     770.0       6.9      16.0      29.4     144.0
     775.0       7.0      16.0      29.6     145.2
     780.0       7.0      16.1      29.8     146.4
     785.0       7.0      16.2      30.0     147.6
     790.0       7.0      16.3      30.2     148.9
     795.0       7.0      16.3      30.4     150.1
     800.0       7.1      16.4      30.6     151.3
     805.0       7.1      16.5      30.8     152.5
     810.0       7.1      16.5      31.1     153.8
     815.0       7.1      16.6      31.3     155.0
     820.0       7.1      16.7      31.5     156.2
     825.0       7.2      16.8      31.7     157.5
     830.0       7.2      16.8      31.9     158.7
     835.0       7.2      16.9      32.1     160.0
     840.0       7.2      17.0      32.3     161.2
     845.0       7.2      17.0      32.5     162.5
     850.0       7.3      17.1      32.8     163.7
     855.0       7.3      17.2      33.0     165.0
     860.0       7.3      17.3      33.2     166.2
     865.0       7.3      17.3      33.4     167.5
     870.0       7.4      17.4      33.6     168.8
     875.0       7.4      17.5      33.8     170.0
     880.0       7.4      17.5      34.1     171.3
     885.0       7.4      17.6      34.3     172.6
     890.0       7.4      17.7      34.5     173.8
     895.0       7.5      17.8      34.7     175.1
     900.0       7.5      17.8      34.9     176.4
     905.0       7.5      17.9      35.2     177.7
     910.0       7.5      18.0      35.4     178.9
     915.0       7.5      18.0      35.6     180.2
     920.0       7.6      18.1      35.8     181.5
     925.0       7.6      18.2      36.0     182.8
     930.0       7.6      18.3      36.3     184.1
     935.0       7.6      18.3      36.5     185.4
     940.0       7.6      18.4      36.7     186.7
     945.0       7.7      18.5      36.9     188.0
     950.0       7.7      18.5      37.2     189.2
     955.0       7.7      18.6      37.4     190.5
     960.0       7.7      18.7      37.6     191.9
     965.0       7.7      18.7      37.8     193.2
     970.0       7.8      18.8      38.1     194.5
     975.0       7.8      18.9      38.3     195.8
     980.0       7.8      19.0      38.5     197.1
     985.0       7.8      19.0      38.7     198.4
     990.0       7.8      19.1      39.0     199.7
     995.0       7.8      19.2      39.2     201.0
    1000.0       7.9      19.2      39.4     202.4
    1005.0       7.9      19.3      39.7     203.7
    1010.0       7.9      19.4      39.9     205.0
    1015.0       7.9      19.4      40.1     206.4
    1020.0       7.9      19.5      40.4     207.7
    1025.0       8.0      19.6      40.6     209.0
    1030.0       8.0      19.6      40.8     210.4
    1035.0       8.0      19.7      41.1     211.7
    1040.0       8.0      19.8      41.3     213.1
    1045.0       8.0      19.9      41.5     214.4
    1050.0       8.1      19.9      41.8     215.8
    1055.0       8.1      20.0      42.0     217.1
    1060.0       8.1      20.1      42.2     218.5
    1065.0       8.1      20.1      42.5     219.8
    1070.0       8.1      20.2      42.7     221.2
    1075.0       8.2      20.3      42.9     222.6
    1080.0       8.2      20.3      43.2     223.9
    1085.0       8.2      20.4      43.4     225.3
    1090.0       8.2      20.5      43.6     226.6
    1095.0       8.2      20.5      43.9     228.0
    1100.0       8.2      20.6      44.1     229.4
    1105.0       8.3      20.7      44.4     230.8
    1110.0       8.3      20.8      44.6     232.1
    1115.0       8.3      20.8      44.9     233.5
    1120.0       8.3      20.9      45.1     234.9
    1125.0       8.3      21.0      45.3     236.3
    1130.0       8.4      21.0      45.6     237.7
    1135.0       8.4      21.1      45.8     239.0
    1140.0       8.4      21.2      46.1     240.4
    1145.0       8.4      21.2      46.3     241.8
    1150.0       8.4      21.3      46.5     243.2
    1155.0       8.5      21.4      46.8     244.6
    1160.0       8.5      21.4      47.0     246.0
    1165.0       8.5      21.5      47.3     247.4
    1170.0       8.5      21.6      47.5     248.8
    1175.0       8.5      21.6      47.8     250.2
    1180.0       8.5      21.7      48.0     251.6
    1185.0       8.6      21.8      48.3     253.0
    1190.0       8.6      21.8      48.5     254.4
    1195.0       8.6      21.9      48.8     255.8
    1200.0       8.6      22.0      49.0     257.3
    1205.0       8.6      22.0      49.3     258.7
    1210.0       8.7      22.1      49.5     260.1
    1215.0       8.7      22.2      49.8     261.5
    1220.0       8.7      22.3      50.0     263.0
    1225.0       8.7      22.3      50.3     264.4
    1230.0       8.7      22.4      50.5     265.8
    1235.0       8.7      22.5      50.8     267.2
    1240.0       8.8      22.5      51.0     268.7
    1245.0       8.8      22.6      51.3     270.1
    1250.0       8.8      22.7      51.5     271.5
    1255.0       8.8      22.7      51.8     273.0
    1260.0       8.8      22.8      52.0     274.4
    1265.0       8.9      22.9      52.3     275.9
    1270.0       8.9      22.9      52.5     277.3
    1275.0       8.9      23.0      52.8     278.8
    1280.0       8.9      23.1      53.1     280.2
    1285.0       8.9      23.1      53.3     281.7
    1290.0       8.9      23.2      53.6     283.1
    1295.0       9.0      23.3      53.8     284.6
    1300.0       9.0      23.3      54.1     286.0
    1305.0       9.0      23.4      54.3     287.5
    1310.0       9.0      23.5      54.6     289.0
    1315.0       9.0      23.5      54.9     290.5
    1320.0       9.0      23.6      55.1     291.9
    1325.0       9.1      23.7      55.4     293.4
    1330.0       9.1      23.7      55.6     294.9
    1335.0       9.1      23.8      55.9     296.3
    1340.0       9.1      23.9      56.1     297.8
    1345.0       9.1      23.9      56.4     299.3
    1350.0       9.2      24.0      56.7     300.8
    1355.0       9.2      24.1      56.9     302.3
    1360.0       9.2      24.1      57.2     303.7
    1365.0       9.2      24.2      57.5     305.2
    1370.0       9.2      24.3      57.7     306.7
    1375.0       9.2      24.3      58.0     308.2
    1380.0       9.3      24.4      58.3     309.7
    1385.0       9.3      24.5      58.5     311.2
    1390.0       9.3      24.5      58.8     312.7
    1395.0       9.3      24.6      59.0     314.2
    1400.0       9.3      24.7      59.3     315.7
    1405.0       9.3      24.7      59.6     317.2
    1410.0       9.4      24.8      59.8     318.7
    1415.0       9.4      24.9      60.1     320.2
    1420.0       9.4      24.9      60.4     321.8
    1425.0       9.4      25.0      60.7     323.3
    1430.0       9.4      25.1      60.9     324.8
    1435.0       9.4      25.1      61.2     326.3
    1440.0       9.5      25.2      61.5     327.8
    1445.0       9.5      25.3      61.7     329.3
    1450.0       9.5      25.3      62.0     330.9
    1455.0       9.5      25.4      62.3     332.4
    1460.0       9.5      25.5      62.5     333.9
    1465.0       9.5      25.5      62.8     335.5
    1470.0       9.6      25.6      63.1     337.0
    1475.0       9.6      25.7      63.4     338.5
    1480.0       9.6      25.7      63.6     340.1
    1485.0       9.6      25.8      63.9     341.6
    1490.0       9.6      25.9      64.2     343.1
    1495.0       9.6      25.9      64.4     344.7
    1500.0       9.7      26.0      64.7     346.2
    1505.0       9.7      26.1      65.0     347.8
