# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Ni
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       0.6      53.9       0.7       0.1
      10.0       1.2      31.4       1.0       0.1
      15.0       2.8      19.7       2.0       0.1
      20.0       3.9      14.2       3.0       0.1
      25.0       4.3      11.7       3.7       0.1
      30.0       4.2      10.1       4.2       0.1
      35.0       4.0       8.9       4.4       0.1
      40.0       3.7       8.0       4.5       0.1
      45.0       3.4       7.4       4.6       1.4
      50.0       3.2       6.9       4.6       2.7
      55.0       3.1       6.5       4.6       3.9
      60.0       2.9       6.4       4.5       5.0
      65.0       2.8       6.1       4.5       6.0
      70.0       2.8       5.9       4.5       7.0
      75.0       2.7       5.8       4.5       7.9
      80.0       2.7       5.7       4.6       8.8
      85.0       2.6       5.6       4.6       9.7
      90.0       2.6       5.6       4.6      10.5
      95.0       2.6       5.6       4.7      11.4
     100.0       2.6       5.6       4.7      12.2
     105.0       2.6       5.5       4.8      12.9
     110.0       2.6       5.6       4.9      13.7
     115.0       2.6       5.6       4.9      14.4
     120.0       2.6       5.6       5.0      15.2
     125.0       2.6       5.6       5.1      15.9
     130.0       2.6       5.7       5.2      16.6
     135.0       2.6       5.7       5.3      17.3
     140.0       2.6       5.7       5.4      18.0
     145.0       2.6       5.8       5.5      18.6
     150.0       2.6       5.8       5.6      19.3
     155.0       2.7       5.8       5.7      20.0
     160.0       2.7       5.9       5.8      20.6
     165.0       2.7       5.9       5.9      21.2
     170.0       2.7       5.9       6.0      21.9
     175.0       2.7       6.0       6.1      22.5
     180.0       2.8       6.0       6.2      23.1
     185.0       2.8       6.0       6.3      23.8
     190.0       2.8       6.1       6.4      24.4
     195.0       2.8       6.1       6.5      25.0
     200.0       2.9       6.2       6.7      25.6
     205.0       2.9       6.2       6.8      26.3
     210.0       2.9       6.3       6.9      26.9
     215.0       2.9       6.3       7.0      27.5
     220.0       2.9       6.4       7.2      28.1
     225.0       3.0       6.4       7.3      28.7
     230.0       3.0       6.5       7.4      29.3
     235.0       3.0       6.5       7.5      29.9
     240.0       3.0       6.6       7.7      30.5
     245.0       3.1       6.6       7.8      31.1
     250.0       3.1       6.7       7.9      31.8
     255.0       3.1       6.7       8.0      32.4
     260.0       3.1       6.8       8.2      33.0
     265.0       3.2       6.8       8.3      33.6
     270.0       3.2       6.9       8.5      34.2
     275.0       3.2       6.9       8.6      34.8
     280.0       3.2       7.0       8.7      35.4
     285.0       3.3       7.1       8.9      36.0
     290.0       3.3       7.1       9.0      36.6
     295.0       3.3       7.2       9.1      37.2
     300.0       3.3       7.2       9.3      37.9
     305.0       3.4       7.3       9.4      38.5
     310.0       3.4       7.3       9.6      39.1
     315.0       3.4       7.4       9.7      39.7
     320.0       3.4       7.5       9.9      40.3
     325.0       3.5       7.5      10.0      40.9
     330.0       3.5       7.6      10.1      41.6
     335.0       3.5       7.6      10.3      42.2
     340.0       3.5       7.7      10.4      42.8
     345.0       3.5       7.7      10.6      43.4
     350.0       3.6       7.8      10.7      44.0
     355.0       3.6       7.9      10.9      44.7
     360.0       3.6       7.9      11.0      45.3
     365.0       3.6       8.0      11.2      45.9
     370.0       3.7       8.0      11.3      46.5
