# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Os
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       1.5      88.4       1.3       0.1
      10.0       2.3      62.4       2.1       0.1
      15.0       2.3      35.8       2.4       0.1
      20.0       2.0      24.5       2.4       0.1
      25.0       1.8      19.1       2.5       0.1
      30.0       1.6      16.2       2.5       0.1
      35.0       1.5      14.4       2.6       0.1
      40.0       1.4      13.0       2.8       0.1
      45.0       1.3      11.6       3.1       1.3
      50.0       1.3      10.2       3.4       2.4
      55.0       1.3       8.9       3.8       3.4
      60.0       1.3       7.8       4.2       4.2
      65.0       1.3       7.0       4.6       5.0
      70.0       1.3       6.4       5.1       5.8
      75.0       1.3       6.1       5.6       6.5
      80.0       1.3       5.8       6.2       7.2
      85.0       1.3       5.6       6.7       7.8
      90.0       1.4       5.4       7.3       8.5
      95.0       1.4       5.3       7.8       9.1
     100.0       1.4       5.2       8.3       9.6
     105.0       1.4       5.1       8.9      10.2
     110.0       1.4       5.0       9.3      10.8
     115.0       1.4       5.0       9.8      11.3
     120.0       1.5       5.0      10.2      11.8
     125.0       1.5       4.9      10.6      12.4
     130.0       1.5       4.9      11.0      12.9
     135.0       1.5       4.9      11.3      13.4
     140.0       1.6       4.9      11.5      13.9
     145.0       1.6       4.9      11.8      14.5
     150.0       1.6       5.0      12.0      15.0
     155.0       1.6       5.0      12.1      15.5
     160.0       1.7       5.0      12.2      16.0
     165.0       1.7       5.0      12.3      16.5
     170.0       1.7       5.1      12.4      17.0
     175.0       1.8       5.1      12.5      17.5
     180.0       1.8       5.1      12.5      18.0
     185.0       1.8       5.2      12.5      18.5
     190.0       1.8       5.2      12.5      19.0
     195.0       1.9       5.2      12.5      19.5
     200.0       1.9       5.3      12.5      20.1
     205.0       1.9       5.3      12.5      20.6
     210.0       2.0       5.4      12.4      21.1
     215.0       2.0       5.4      12.4      21.6
     220.0       2.0       5.5      12.4      22.1
     225.0       2.0       5.5      12.3      22.6
     230.0       2.1       5.6      12.3      23.1
     235.0       2.1       5.6      12.3      23.6
     240.0       2.1       5.7      12.2      24.1
     245.0       2.2       5.7      12.2      24.7
     250.0       2.2       5.8      12.2      25.2
     255.0       2.2       5.8      12.1      25.7
     260.0       2.3       5.9      12.1      26.2
     265.0       2.3       5.9      12.1      26.7
     270.0       2.3       6.0      12.1      27.3
     275.0       2.3       6.0      12.0      27.8
     280.0       2.4       6.1      12.0      28.3
     285.0       2.4       6.2      12.0      28.8
     290.0       2.4       6.2      12.0      29.4
     295.0       2.5       6.3      12.0      29.9
     300.0       2.5       6.3      12.0      30.4
     305.0       2.5       6.4      12.0      30.9
     310.0       2.5       6.4      11.9      31.5
     315.0       2.6       6.5      11.9      32.0
     320.0       2.6       6.5      11.9      32.5
     325.0       2.6       6.6      11.9      33.1
     330.0       2.6       6.6      11.9      33.6
     335.0       2.7       6.7      11.9      34.1
     340.0       2.7       6.7      12.0      34.7
     345.0       2.7       6.8      12.0      35.2
     350.0       2.7       6.8      12.0      35.8
     355.0       2.8       6.9      12.0      36.3
     360.0       2.8       6.9      12.0      36.9
     365.0       2.8       7.0      12.0      37.4
     370.0       2.8       7.0      12.0      38.0
     375.0       2.9       7.1      12.0      38.5
     380.0       2.9       7.2      12.1      39.1
     385.0       2.9       7.2      12.1      39.6
     390.0       2.9       7.3      12.1      40.2
     395.0       3.0       7.3      12.1      40.7
     400.0       3.0       7.4      12.2      41.3
     405.0       3.0       7.4      12.2      41.8
     410.0       3.0       7.5      12.2      42.4
     415.0       3.0       7.5      12.3      43.0
     420.0       3.1       7.6      12.3      43.5
     425.0       3.1       7.6      12.3      44.1
     430.0       3.1       7.7      12.4      44.6
     435.0       3.1       7.7      12.4      45.2
     440.0       3.1       7.8      12.4      45.8
     445.0       3.2       7.8      12.5      46.3
     450.0       3.2       7.9      12.5      46.9
     455.0       3.2       7.9      12.5      47.5
     460.0       3.2       8.0      12.6      48.1
     465.0       3.2       8.0      12.6      48.6
     470.0       3.3       8.1      12.7      49.2
     475.0       3.3       8.1      12.7      49.8
     480.0       3.3       8.2      12.8      50.4
     485.0       3.3       8.2      12.8      50.9
     490.0       3.3       8.3      12.8      51.5
     495.0       3.3       8.3      12.9      52.1
     500.0       3.4       8.4      12.9      52.7
     505.0       3.4       8.4      13.0      53.3
     510.0       3.4       8.5      13.0      53.9
     515.0       3.4       8.5      13.1      54.4
     520.0       3.4       8.6      13.1      55.0
     525.0       3.5       8.6      13.2      55.6
     530.0       3.5       8.7      13.2      56.2
     535.0       3.5       8.7      13.3      56.8
     540.0       3.5       8.8      13.3      57.4
     545.0       3.5       8.8      13.4      58.0
     550.0       3.5       8.9      13.5      58.6
     555.0       3.5       8.9      13.5      59.2
     560.0       3.6       9.0      13.6      59.8
     565.0       3.6       9.0      13.6      60.4
     570.0       3.6       9.1      13.7      61.0
     575.0       3.6       9.1      13.7      61.6
     580.0       3.6       9.2      13.8      62.2
     585.0       3.6       9.2      13.9      62.8
     590.0       3.7       9.3      13.9      63.4
     595.0       3.7       9.3      14.0      64.0
     600.0       3.7       9.4      14.0      64.6
     605.0       3.7       9.4      14.1      65.2
     610.0       3.7       9.5      14.2      65.8
     615.0       3.7       9.5      14.2      66.5
     620.0       3.7       9.6      14.3      67.1
     625.0       3.8       9.6      14.3      67.7
     630.0       3.8       9.7      14.4      68.3
     635.0       3.8       9.7      14.5      68.9
     640.0       3.8       9.8      14.5      69.5
     645.0       3.8       9.8      14.6      70.2
     650.0       3.8       9.9      14.7      70.8
     655.0       3.8       9.9      14.7      71.4
     660.0       3.9      10.0      14.8      72.0
     665.0       3.9      10.0      14.9      72.6
     670.0       3.9      10.1      14.9      73.3
     675.0       3.9      10.1      15.0      73.9
     680.0       3.9      10.2      15.1      74.5
     685.0       3.9      10.2      15.1      75.2
     690.0       3.9      10.3      15.2      75.8
     695.0       3.9      10.3      15.3      76.4
     700.0       4.0      10.4      15.3      77.0
     705.0       4.0      10.4      15.4      77.7
     710.0       4.0      10.5      15.5      78.3
     715.0       4.0      10.5      15.5      79.0
     720.0       4.0      10.6      15.6      79.6
     725.0       4.0      10.6      15.7      80.2
     730.0       4.0      10.7      15.8      80.9
     735.0       4.0      10.7      15.8      81.5
     740.0       4.1      10.8      15.9      82.2
     745.0       4.1      10.8      16.0      82.8
     750.0       4.1      10.8      16.0      83.4
     755.0       4.1      10.9      16.1      84.1
     760.0       4.1      10.9      16.2      84.7
     765.0       4.1      11.0      16.3      85.4
     770.0       4.1      11.0      16.3      86.0
     775.0       4.1      11.1      16.4      86.7
     780.0       4.2      11.1      16.5      87.3
     785.0       4.2      11.2      16.6      88.0
     790.0       4.2      11.2      16.6      88.6
     795.0       4.2      11.3      16.7      89.3
     800.0       4.2      11.3      16.8      90.0
     805.0       4.2      11.4      16.8      90.6
     810.0       4.2      11.4      16.9      91.3
     815.0       4.2      11.5      17.0      91.9
     820.0       4.2      11.5      17.1      92.6
     825.0       4.3      11.6      17.2      93.3
     830.0       4.3      11.6      17.2      93.9
     835.0       4.3      11.6      17.3      94.6
     840.0       4.3      11.7      17.4      95.2
     845.0       4.3      11.7      17.5      95.9
     850.0       4.3      11.8      17.5      96.6
     855.0       4.3      11.8      17.6      97.2
     860.0       4.3      11.9      17.7      97.9
     865.0       4.3      11.9      17.8      98.6
     870.0       4.4      12.0      17.8      99.3
     875.0       4.4      12.0      17.9      99.9
     880.0       4.4      12.1      18.0     100.6
     885.0       4.4      12.1      18.1     101.3
     890.0       4.4      12.2      18.2     102.0
     895.0       4.4      12.2      18.2     102.6
     900.0       4.4      12.3      18.3     103.3
     905.0       4.4      12.3      18.4     104.0
     910.0       4.4      12.3      18.5     104.7
     915.0       4.5      12.4      18.6     105.4
     920.0       4.5      12.4      18.6     106.0
     925.0       4.5      12.5      18.7     106.7
     930.0       4.5      12.5      18.8     107.4
     935.0       4.5      12.6      18.9     108.1
     940.0       4.5      12.6      19.0     108.8
     945.0       4.5      12.7      19.1     109.5
     950.0       4.5      12.7      19.1     110.2
     955.0       4.5      12.8      19.2     110.9
     960.0       4.5      12.8      19.3     111.6
     965.0       4.6      12.9      19.4     112.3
     970.0       4.6      12.9      19.5     112.9
     975.0       4.6      12.9      19.5     113.6
     980.0       4.6      13.0      19.6     114.3
