# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Pd
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       0.7      71.4       0.7       0.1
      10.0       1.0      30.0       1.1       0.1
      15.0       1.3      16.0       1.7       0.1
      20.0       1.5      12.5       2.2       0.1
      25.0       1.6      10.9       2.5       0.1
      30.0       1.6       9.8       2.7       0.1
      35.0       1.5       9.0       2.8       0.1
      40.0       1.5       8.3       3.0       0.1
      45.0       1.5       7.8       3.2       1.4
      50.0       1.4       7.2       3.4       2.6
      55.0       1.4       6.7       3.6       3.8
      60.0       1.4       6.3       3.9       4.8
      65.0       1.5       6.0       4.2       5.9
      70.0       1.5       5.9       4.6       6.8
      75.0       1.5       5.7       4.9       7.8
      80.0       1.6       5.6       5.2       8.7
      85.0       1.6       5.5       5.6       9.6
      90.0       1.7       5.5       5.9      10.5
      95.0       1.7       5.5       6.2      11.3
     100.0       1.8       5.5       6.4      12.2
     105.0       1.8       5.5       6.7      13.0
     110.0       1.9       5.6       6.9      13.8
     115.0       1.9       5.6       7.1      14.6
     120.0       2.0       5.6       7.3      15.5
     125.0       2.0       5.7       7.4      16.3
     130.0       2.1       5.7       7.6      17.1
     135.0       2.1       5.8       7.7      17.9
     140.0       2.2       5.9       7.8      18.6
     145.0       2.2       5.9       8.0      19.4
     150.0       2.3       6.0       8.1      20.2
     155.0       2.3       6.0       8.2      21.0
     160.0       2.4       6.1       8.2      21.8
     165.0       2.4       6.2       8.3      22.6
     170.0       2.4       6.2       8.4      23.4
     175.0       2.5       6.3       8.5      24.2
     180.0       2.5       6.4       8.6      25.0
     185.0       2.6       6.5       8.6      25.7
     190.0       2.6       6.5       8.7      26.5
     195.0       2.7       6.6       8.8      27.3
     200.0       2.7       6.7       8.9      28.1
     205.0       2.7       6.8       8.9      28.9
     210.0       2.8       6.8       9.0      29.8
     215.0       2.8       6.9       9.1      30.6
     220.0       2.9       7.0       9.2      31.4
     225.0       2.9       7.1       9.2      32.2
     230.0       2.9       7.1       9.3      33.0
     235.0       3.0       7.2       9.4      33.8
     240.0       3.0       7.3       9.5      34.7
     245.0       3.0       7.4       9.5      35.5
     250.0       3.1       7.5       9.6      36.4
     255.0       3.1       7.5       9.7      37.2
     260.0       3.1       7.6       9.8      38.0
     265.0       3.2       7.7       9.9      38.9
     270.0       3.2       7.8      10.0      39.8
