# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Pt
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       4.0      65.5       3.0       0.1
      10.0       5.2      33.5       3.6       0.1
      15.0       4.3      23.7       3.5       0.1
      20.0       3.2      19.0       3.1       0.1
      25.0       2.5      15.9       2.8       0.1
      30.0       2.0      13.6       2.7       0.1
      35.0       1.8      12.0       2.7       0.1
      40.0       1.6      10.8       2.8       0.1
      45.0       1.5       9.6       3.0       1.2
      50.0       1.5       8.6       3.2       2.3
      55.0       1.5       7.8       3.6       3.2
      60.0       1.5       7.1       3.9       4.1
      65.0       1.4       6.4       4.3       4.9
      70.0       1.5       6.0       4.8       5.7
      75.0       1.5       5.6       5.2       6.4
      80.0       1.5       5.4       5.7       7.1
      85.0       1.5       5.2       6.2       7.8
      90.0       1.5       5.1       6.7       8.4
      95.0       1.5       5.0       7.2       9.0
     100.0       1.5       5.0       7.7       9.6
     105.0       1.5       4.9       8.2      10.2
     110.0       1.5       4.9       8.7      10.8
     115.0       1.5       4.9       9.2      11.3
     120.0       1.6       4.9       9.6      11.9
     125.0       1.6       4.9      10.1      12.4
     130.0       1.6       4.9      10.5      13.0
     135.0       1.6       4.9      10.9      13.5
     140.0       1.7       4.9      11.2      14.0
     145.0       1.7       4.9      11.5      14.6
     150.0       1.7       4.9      11.8      15.1
     155.0       1.7       4.9      12.1      15.6
     160.0       1.8       5.0      12.3      16.1
     165.0       1.8       5.0      12.5      16.6
     170.0       1.8       5.0      12.6      17.2
     175.0       1.8       5.0      12.8      17.7
     180.0       1.9       5.1      12.9      18.2
     185.0       1.9       5.1      13.0      18.7
     190.0       1.9       5.2      13.1      19.2
     195.0       2.0       5.2      13.1      19.8
     200.0       2.0       5.3      13.2      20.3
     205.0       2.0       5.3      13.2      20.8
     210.0       2.0       5.3      13.2      21.3
     215.0       2.1       5.4      13.3      21.8
     220.0       2.1       5.4      13.3      22.4
     225.0       2.1       5.5      13.3      22.9
     230.0       2.2       5.5      13.3      23.4
     235.0       2.2       5.6      13.3      23.9
     240.0       2.2       5.7      13.2      24.5
     245.0       2.3       5.7      13.2      25.0
     250.0       2.3       5.8      13.2      25.5
     255.0       2.3       5.8      13.2      26.1
     260.0       2.3       5.9      13.2      26.6
     265.0       2.4       5.9      13.2      27.2
     270.0       2.4       6.0      13.2      27.7
     275.0       2.4       6.0      13.1      28.2
     280.0       2.5       6.1      13.1      28.8
     285.0       2.5       6.1      13.1      29.3
     290.0       2.5       6.2      13.1      29.9
     295.0       2.6       6.3      13.1      30.4
     300.0       2.6       6.3      13.1      31.0
     305.0       2.6       6.4      13.1      31.5
     310.0       2.6       6.4      13.1      32.1
     315.0       2.7       6.5      13.1      32.7
     320.0       2.7       6.5      13.1      33.2
     325.0       2.7       6.6      13.1      33.8
     330.0       2.8       6.6      13.1      34.3
     335.0       2.8       6.7      13.1      34.9
     340.0       2.8       6.8      13.1      35.5
     345.0       2.8       6.8      13.1      36.0
     350.0       2.9       6.9      13.1      36.6
     355.0       2.9       6.9      13.1      37.2
     360.0       2.9       7.0      13.1      37.8
     365.0       2.9       7.0      13.1      38.3
     370.0       3.0       7.1      13.1      38.9
     375.0       3.0       7.1      13.2      39.5
     380.0       3.0       7.2      13.2      40.1
     385.0       3.0       7.2      13.2      40.7
     390.0       3.1       7.3      13.2      41.3
     395.0       3.1       7.4      13.2      41.8
     400.0       3.1       7.4      13.3      42.4
     405.0       3.1       7.5      13.3      43.0
     410.0       3.2       7.5      13.3      43.6
     415.0       3.2       7.6      13.3      44.2
     420.0       3.2       7.6      13.4      44.8
     425.0       3.2       7.7      13.4      45.4
     430.0       3.3       7.7      13.4      46.0
     435.0       3.3       7.8      13.5      46.6
     440.0       3.3       7.8      13.5      47.2
     445.0       3.3       7.9      13.5      47.8
     450.0       3.3       8.0      13.6      48.4
     455.0       3.4       8.0      13.6      49.0
     460.0       3.4       8.1      13.7      49.6
     465.0       3.4       8.1      13.7      50.2
     470.0       3.4       8.2      13.7      50.8
     475.0       3.4       8.2      13.8      51.5
     480.0       3.5       8.3      13.8      52.1
     485.0       3.5       8.3      13.9      52.7
     490.0       3.5       8.4      13.9      53.3
     495.0       3.5       8.4      14.0      53.9
     500.0       3.5       8.5      14.0      54.6
     505.0       3.6       8.5      14.1      55.2
     510.0       3.6       8.6      14.1      55.8
     515.0       3.6       8.6      14.2      56.4
     520.0       3.6       8.7      14.2      57.1
     525.0       3.6       8.7      14.3      57.7
     530.0       3.7       8.8      14.3      58.3
     535.0       3.7       8.8      14.4      58.9
     540.0       3.7       8.9      14.4      59.6
     545.0       3.7       9.0      14.5      60.2
     550.0       3.7       9.0      14.5      60.9
     555.0       3.7       9.1      14.6      61.5
     560.0       3.8       9.1      14.6      62.1
     565.0       3.8       9.2      14.7      62.8
     570.0       3.8       9.2      14.8      63.4
     575.0       3.8       9.3      14.8      64.1
     580.0       3.8       9.3      14.9      64.7
     585.0       3.8       9.4      14.9      65.4
     590.0       3.9       9.4      15.0      66.0
     595.0       3.9       9.5      15.1      66.6
     600.0       3.9       9.5      15.1      67.3
     605.0       3.9       9.6      15.2      68.0
     610.0       3.9       9.6      15.2      68.6
     615.0       3.9       9.7      15.3      69.3
     620.0       4.0       9.7      15.4      69.9
     625.0       4.0       9.8      15.4      70.6
     630.0       4.0       9.8      15.5      71.2
     635.0       4.0       9.9      15.6      71.9
     640.0       4.0       9.9      15.6      72.6
     645.0       4.0      10.0      15.7      73.2
     650.0       4.1      10.0      15.8      73.9
     655.0       4.1      10.1      15.8      74.5
     660.0       4.1      10.1      15.9      75.2
     665.0       4.1      10.2      16.0      75.9
     670.0       4.1      10.2      16.0      76.6
     675.0       4.1      10.3      16.1      77.2
     680.0       4.1      10.3      16.2      77.9
     685.0       4.2      10.4      16.2      78.6
     690.0       4.2      10.4      16.3      79.3
     695.0       4.2      10.5      16.4      79.9
     700.0       4.2      10.5      16.5      80.6
     705.0       4.2      10.6      16.5      81.3
     710.0       4.2      10.6      16.6      82.0
     715.0       4.2      10.7      16.7      82.6
     720.0       4.3      10.7      16.7      83.3
     725.0       4.3      10.8      16.8      84.0
     730.0       4.3      10.8      16.9      84.7
     735.0       4.3      10.9      17.0      85.4
     740.0       4.3      10.9      17.0      86.1
     745.0       4.3      11.0      17.1      86.8
     750.0       4.3      11.0      17.2      87.5
     755.0       4.3      11.1      17.3      88.2
     760.0       4.4      11.1      17.3      88.8
     765.0       4.4      11.2      17.4      89.5
     770.0       4.4      11.2      17.5      90.2
     775.0       4.4      11.3      17.6      90.9
