# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Rh
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       0.9     152.7       0.9       0.1
      10.0       0.7      59.4       0.9       0.1
      15.0       1.0      23.4       1.4       0.1
      20.0       1.2      16.4       1.8       0.1
      25.0       1.2      13.7       2.2       0.1
      30.0       1.3      12.0       2.4       0.1
      35.0       1.3      10.8       2.7       0.1
      40.0       1.3       9.9       2.9       0.1
      45.0       1.3       9.0       3.1       1.2
      50.0       1.3       8.1       3.4       2.3
      55.0       1.3       7.4       3.6       3.3
      60.0       1.3       6.7       3.9       4.2
      65.0       1.3       6.2       4.3       5.0
      70.0       1.4       5.8       4.6       5.8
      75.0       1.4       5.5       4.9       6.6
      80.0       1.4       5.4       5.2       7.3
      85.0       1.5       5.2       5.5       8.0
      90.0       1.5       5.2       5.8       8.7
      95.0       1.6       5.1       6.1       9.3
     100.0       1.6       5.1       6.3       9.9
     105.0       1.7       5.0       6.5      10.5
     110.0       1.7       5.0       6.7      11.1
     115.0       1.8       5.0       6.9      11.6
     120.0       1.8       5.0       7.0      12.2
     125.0       1.9       5.0       7.1      12.7
     130.0       1.9       4.9       7.3      13.3
     135.0       2.0       4.9       7.4      13.8
     140.0       2.0       4.9       7.5      14.3
     145.0       2.1       4.9       7.5      14.8
     150.0       2.1       4.9       7.6      15.4
     155.0       2.1       4.9       7.7      15.9
     160.0       2.2       4.9       7.8      16.4
     165.0       2.2       5.0       7.8      17.0
     170.0       2.3       5.0       7.9      17.5
     175.0       2.3       5.0       8.0      18.0
     180.0       2.4       5.1       8.0      18.5
     185.0       2.4       5.1       8.1      19.1
     190.0       2.4       5.2       8.2      19.6
     195.0       2.5       5.2       8.2      20.1
     200.0       2.5       5.3       8.3      20.7
     205.0       2.6       5.3       8.4      21.2
     210.0       2.6       5.4       8.4      21.8
     215.0       2.6       5.4       8.5      22.3
     220.0       2.7       5.5       8.6      22.9
     225.0       2.7       5.5       8.6      23.4
     230.0       2.7       5.6       8.7      24.0
     235.0       2.8       5.7       8.8      24.5
     240.0       2.8       5.7       8.9      25.1
     245.0       2.9       5.8       8.9      25.7
     250.0       2.9       5.8       9.0      26.2
     255.0       2.9       5.9       9.1      26.8
     260.0       3.0       6.0       9.2      27.4
     265.0       3.0       6.0       9.2      28.0
     270.0       3.0       6.1       9.3      28.5
     275.0       3.0       6.1       9.4      29.1
     280.0       3.1       6.2       9.5      29.7
     285.0       3.1       6.3       9.6      30.3
     290.0       3.1       6.3       9.6      30.9
     295.0       3.2       6.4       9.7      31.5
     300.0       3.2       6.4       9.8      32.1
     305.0       3.2       6.5       9.9      32.7
     310.0       3.3       6.6      10.0      33.3
     315.0       3.3       6.6      10.1      33.9
     320.0       3.3       6.7      10.2      34.5
     325.0       3.3       6.8      10.3      35.2
     330.0       3.4       6.8      10.4      35.8
     335.0       3.4       6.9      10.5      36.4
     340.0       3.4       6.9      10.6      37.0
     345.0       3.4       7.0      10.6      37.7
     350.0       3.5       7.1      10.7      38.3
     355.0       3.5       7.1      10.8      39.0
     360.0       3.5       7.2      10.9      39.6
     365.0       3.5       7.3      11.0      40.3
     370.0       3.6       7.3      11.1      40.9
     375.0       3.6       7.4      11.2      41.6
     380.0       3.6       7.4      11.3      42.2
     385.0       3.6       7.5      11.4      42.9
     390.0       3.7       7.6      11.5      43.6
     395.0       3.7       7.6      11.6      44.2
     400.0       3.7       7.7      11.7      44.9
     405.0       3.7       7.7      11.9      45.6
     410.0       3.8       7.8      12.0      46.3
     415.0       3.8       7.9      12.1      46.9
     420.0       3.8       7.9      12.2      47.6
     425.0       3.8       8.0      12.3      48.3
     430.0       3.8       8.1      12.4      49.0
     435.0       3.9       8.1      12.5      49.7
     440.0       3.9       8.2      12.6      50.4
     445.0       3.9       8.2      12.7      51.1
