# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Si
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       5.6     639.7      14.6       0.1
      10.0       6.3     183.2      14.8       0.1
      15.0       6.0      91.9      13.3       0.1
      20.0       5.6      48.6      11.3       0.1
      25.0       5.2      21.0       9.8       0.1
      30.0       5.0       8.8       8.8       0.1
      35.0       4.9       5.7       8.2       0.1
      40.0       4.8       4.9       7.9       0.1
      45.0       4.8       4.6       7.8       1.3
      50.0       4.9       4.5       7.8       2.6
      55.0       4.9       4.6       7.8       3.9
      60.0       5.0       4.6       8.0       5.2
      65.0       5.0       4.7       8.2       6.4
      70.0       5.1       4.8       8.4       7.7
      75.0       5.2       4.9       8.6       9.0
      80.0       5.3       5.0       8.9      10.4
      85.0       5.4       5.2       9.2      11.7
      90.0       5.5       5.3       9.5      13.0
      95.0       5.6       5.4       9.9      14.4
     100.0       5.7       5.6      10.2      15.8
     105.0       5.7       5.7      10.6      17.2
     110.0       5.8       5.8      10.9      18.6
     115.0       5.9       6.0      11.3      20.1
     120.0       6.0       6.1      11.7      21.5
     125.0       6.1       6.3      12.1      23.0
     130.0       6.2       6.4      12.5      24.5
     135.0       6.3       6.5      13.0      26.0
     140.0       6.4       6.7      13.4      27.6
     145.0       6.5       6.8      13.8      29.1
     150.0       6.6       7.0      14.3      30.7
     155.0       6.6       7.1      14.7      32.3
     160.0       6.7       7.3      15.2      33.9
     165.0       6.8       7.4      15.6      35.5
     170.0       6.9       7.5      16.1      37.1
     175.0       7.0       7.7      16.6      38.7
     180.0       7.1       7.8      17.1      40.4
     185.0       7.2       8.0      17.6      42.0
     190.0       7.3       8.1      18.1      43.7
     195.0       7.4       8.2      18.6      45.3
     200.0       7.4       8.4      19.1      47.0
     205.0       7.5       8.5      19.6      48.7
     210.0       7.6       8.6      20.1      50.4
     215.0       7.7       8.8      20.6      52.1
     220.0       7.8       8.9      21.2      53.8
     225.0       7.9       9.0      21.7      55.5
     230.0       7.9       9.2      22.3      57.2
     235.0       8.0       9.3      22.8      58.9
     240.0       8.1       9.4      23.4      60.6
     245.0       8.2       9.5      23.9      62.3
     250.0       8.3       9.6      24.5      64.0
     255.0       8.4       9.8      25.0      65.7
     260.0       8.4       9.9      25.6      67.4
     265.0       8.5      10.0      26.2      69.1
     270.0       8.6      10.1      26.8      70.9
     275.0       8.7      10.2      27.4      72.6
     280.0       8.8      10.4      28.0      74.3
     285.0       8.9      10.5      28.6      76.0
     290.0       8.9      10.6      29.2      77.8
     295.0       9.0      10.7      29.8      79.5
     300.0       9.1      10.8      30.4      81.2
     305.0       9.2      10.9      31.0      83.0
     310.0       9.2      11.1      31.6      84.7
     315.0       9.3      11.2      32.3      86.5
     320.0       9.4      11.3      32.9      88.2
     325.0       9.5      11.4      33.5      90.0
     330.0       9.6      11.5      34.2      91.7
     335.0       9.6      11.6      34.8      93.5
     340.0       9.7      11.7      35.5      95.2
     345.0       9.8      11.8      36.1      97.0
     350.0       9.9      12.0      36.8      98.7
     355.0      10.0      12.1      37.4     100.5
     360.0      10.0      12.2      38.1     102.3
     365.0      10.1      12.3      38.8     104.1
     370.0      10.2      12.4      39.4     105.8
     375.0      10.3      12.5      40.1     107.6
     380.0      10.3      12.6      40.8     109.4
     385.0      10.4      12.7      41.5     111.2
     390.0      10.5      12.8      42.2     113.0
     395.0      10.6      12.9      42.9     114.8
     400.0      10.6      13.1      43.6     116.6
     405.0      10.7      13.2      44.3     118.4
     410.0      10.8      13.3      45.0     120.2
     415.0      10.9      13.4      45.7     122.0
     420.0      10.9      13.5      46.4     123.8
     425.0      11.0      13.6      47.1     125.6
     430.0      11.1      13.7      47.9     127.4
     435.0      11.1      13.8      48.6     129.2
     440.0      11.2      13.9      49.3     131.1
     445.0      11.3      14.0      50.1     132.9
     450.0      11.4      14.1      50.8     134.7
     455.0      11.4      14.2      51.6     136.6
     460.0      11.5      14.3      52.3     138.4
     465.0      11.6      14.5      53.1     140.3
     470.0      11.7      14.6      53.8     142.1
     475.0      11.7      14.7      54.6     144.0
     480.0      11.8      14.8      55.3     145.9
     485.0      11.9      14.9      56.1     147.7
     490.0      11.9      15.0      56.9     149.6
     495.0      12.0      15.1      57.7     151.5
     500.0      12.1      15.2      58.4     153.4
     505.0      12.2      15.3      59.2     155.3
     510.0      12.2      15.4      60.0     157.1
     515.0      12.3      15.5      60.8     159.0
     520.0      12.4      15.6      61.6     161.0
     525.0      12.4      15.7      62.4     162.9
     530.0      12.5      15.8      63.2     164.8
     535.0      12.6      15.9      64.0     166.7
     540.0      12.6      16.0      64.8     168.6
     545.0      12.7      16.1      65.6     170.5
     550.0      12.8      16.3      66.5     172.5
     555.0      12.9      16.4      67.3     174.4
     560.0      12.9      16.5      68.1     176.4
     565.0      13.0      16.6      68.9     178.3
     570.0      13.1      16.7      69.8     180.3
     575.0      13.1      16.8      70.6     182.2
     580.0      13.2      16.9      71.5     184.2
     585.0      13.3      17.0      72.3     186.2
     590.0      13.3      17.1      73.2     188.1
     595.0      13.4      17.2      74.0     190.1
     600.0      13.5      17.3      74.9     192.1
     605.0      13.5      17.4      75.7     194.1
     610.0      13.6      17.5      76.6     196.1
     615.0      13.7      17.6      77.4     198.1
     620.0      13.7      17.7      78.3     200.1
     625.0      13.8      17.8      79.2     202.1
     630.0      13.9      17.9      80.1     204.1
     635.0      13.9      18.0      81.0     206.2
     640.0      14.0      18.1      81.8     208.2
     645.0      14.1      18.2      82.7     210.2
     650.0      14.1      18.3      83.6     212.3
     655.0      14.2      18.4      84.5     214.3
     660.0      14.3      18.5      85.4     216.4
     665.0      14.3      18.6      86.3     218.4
     670.0      14.4      18.7      87.2     220.5
     675.0      14.5      18.8      88.1     222.6
     680.0      14.5      18.9      89.1     224.6
     685.0      14.6      19.0      90.0     226.7
     690.0      14.7      19.2      90.9     228.8
     695.0      14.7      19.3      91.8     230.9
     700.0      14.8      19.4      92.7     233.0
     705.0      14.9      19.5      93.7     235.1
     710.0      14.9      19.6      94.6     237.2
     715.0      15.0      19.7      95.6     239.3
     720.0      15.1      19.8      96.5     241.5
     725.0      15.1      19.9      97.4     243.6
     730.0      15.2      20.0      98.4     245.7
     735.0      15.3      20.1      99.3     247.9
     740.0      15.3      20.2     100.3     250.0
     745.0      15.4      20.3     101.3     252.2
     750.0      15.4      20.4     102.2     254.3
     755.0      15.5      20.5     103.2     256.5
     760.0      15.6      20.6     104.2     258.7
     765.0      15.6      20.7     105.1     260.8
     770.0      15.7      20.8     106.1     263.0
     775.0      15.8      20.9     107.1     265.2
     780.0      15.8      21.0     108.1     267.4
     785.0      15.9      21.1     109.1     269.6
     790.0      16.0      21.2     110.1     271.8
     795.0      16.0      21.3     111.0     274.0
     800.0      16.1      21.4     112.1     276.2
     805.0      16.1      21.5     113.1     278.5
     810.0      16.2      21.6     114.1     280.7
     815.0      16.3      21.7     115.1     282.9
     820.0      16.3      21.8     116.1     285.2
     825.0      16.4      21.9     117.1     287.4
     830.0      16.5      22.0     118.1     289.7
     835.0      16.5      22.1     119.1     291.9
     840.0      16.6      22.2     120.2     294.2
     845.0      16.7      22.3     121.2     296.5
     850.0      16.7      22.4     122.2     298.7
     855.0      16.8      22.5     123.3     301.0
     860.0      16.8      22.6     124.3     303.3
     865.0      16.9      22.7     125.3     305.6
     870.0      17.0      22.8     126.4     307.9
     875.0      17.0      22.9     127.4     310.2
     880.0      17.1      23.0     128.5     312.5
     885.0      17.1      23.1     129.5     314.8
     890.0      17.2      23.2     130.6     317.2
     895.0      17.3      23.3     131.7     319.5
     900.0      17.3      23.4     132.7     321.8
     905.0      17.4      23.5     133.8     324.2
     910.0      17.5      23.6     134.9     326.5
     915.0      17.5      23.7     135.9     328.9
     920.0      17.6      23.8     137.0     331.2
     925.0      17.6      23.9     138.1     333.6
     930.0      17.7      24.0     139.2     336.0
     935.0      17.8      24.1     140.3     338.4
     940.0      17.8      24.2     141.4     340.8
     945.0      17.9      24.3     142.5     343.1
