# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Ta
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       0.7      57.3       0.7       0.1
      10.0       1.2      45.6       1.5       0.1
      15.0       1.5      31.4       2.1       0.1
      20.0       1.6      24.4       2.6       0.1
      25.0       1.6      19.4       3.0       0.1
      30.0       1.6      15.8       3.3       0.1
      35.0       1.6      12.2       3.7       0.1
      40.0       1.6       9.1       4.2       0.1
      45.0       1.6       7.6       4.7       1.4
      50.0       1.6       6.9       5.3       2.6
      55.0       1.6       6.5       5.9       3.7
      60.0       1.7       6.2       6.7       4.8
      65.0       1.7       6.1       7.4       5.7
      70.0       1.7       6.0       8.2       6.6
      75.0       1.7       5.9       9.1       7.5
      80.0       1.8       5.8       9.9       8.3
      85.0       1.8       5.7      10.8       9.1
      90.0       1.8       5.6      11.6       9.8
      95.0       1.9       5.6      12.4      10.5
     100.0       1.9       5.5      13.0      11.2
     105.0       1.9       5.4      13.7      11.9
     110.0       1.9       5.4      14.2      12.5
     115.0       2.0       5.4      14.8      13.2
     120.0       2.0       5.3      15.1      13.9
     125.0       2.0       5.3      15.5      14.5
     130.0       2.1       5.3      15.7      15.1
     135.0       2.1       5.3      16.0      15.8
     140.0       2.2       5.4      16.1      16.4
     145.0       2.2       5.4      16.2      17.0
     150.0       2.2       5.4      16.2      17.7
     155.0       2.3       5.5      16.2      18.3
     160.0       2.3       5.5      16.2      18.9
     165.0       2.3       5.6      16.2      19.5
     170.0       2.4       5.6      16.1      20.2
     175.0       2.4       5.7      16.1      20.8
     180.0       2.5       5.7      16.0      21.4
     185.0       2.5       5.8      15.9      22.0
     190.0       2.5       5.8      15.8      22.7
     195.0       2.6       5.9      15.7      23.3
     200.0       2.6       5.9      15.6      23.9
     205.0       2.7       6.0      15.5      24.5
     210.0       2.7       6.1      15.4      25.2
     215.0       2.7       6.1      15.4      25.8
     220.0       2.8       6.2      15.3      26.4
     225.0       2.8       6.2      15.2      27.0
     230.0       2.9       6.3      15.1      27.7
     235.0       2.9       6.4      15.1      28.3
     240.0       2.9       6.4      15.0      28.9
     245.0       3.0       6.5      15.0      29.6
     250.0       3.0       6.5      14.9      30.2
     255.0       3.0       6.6      14.9      30.8
     260.0       3.1       6.7      14.8      31.5
     265.0       3.1       6.7      14.8      32.1
     270.0       3.2       6.8      14.8      32.7
     275.0       3.2       6.8      14.7      33.4
     280.0       3.2       6.9      14.7      34.0
     285.0       3.3       7.0      14.7      34.7
     290.0       3.3       7.0      14.7      35.3
     295.0       3.3       7.1      14.6      36.0
     300.0       3.4       7.2      14.6      36.6
     305.0       3.4       7.2      14.6      37.3
     310.0       3.4       7.3      14.6      37.9
     315.0       3.5       7.3      14.6      38.6
     320.0       3.5       7.4      14.6      39.2
     325.0       3.5       7.5      14.7      39.9
     330.0       3.6       7.5      14.7      40.5
     335.0       3.6       7.6      14.7      41.2
     340.0       3.6       7.7      14.7      41.9
     345.0       3.6       7.7      14.7      42.5
     350.0       3.7       7.8      14.7      43.2
     355.0       3.7       7.8      14.8      43.8
     360.0       3.7       7.9      14.8      44.5
     365.0       3.8       8.0      14.8      45.2
     370.0       3.8       8.0      14.9      45.9
     375.0       3.8       8.1      14.9      46.5
     380.0       3.8       8.2      14.9      47.2
     385.0       3.9       8.2      15.0      47.9
     390.0       3.9       8.3      15.0      48.6
     395.0       3.9       8.3      15.0      49.2
     400.0       4.0       8.4      15.1      49.9
     405.0       4.0       8.5      15.1      50.6
     410.0       4.0       8.5      15.2      51.3
     415.0       4.0       8.6      15.2      52.0
     420.0       4.1       8.6      15.3      52.6
     425.0       4.1       8.7      15.3      53.3
     430.0       4.1       8.8      15.4      54.0
     435.0       4.1       8.8      15.4      54.7
     440.0       4.1       8.9      15.5      55.4
     445.0       4.2       8.9      15.5      56.1
     450.0       4.2       9.0      15.6      56.8
     455.0       4.2       9.1      15.7      57.5
     460.0       4.2       9.1      15.7      58.2
     465.0       4.3       9.2      15.8      58.9
     470.0       4.3       9.2      15.8      59.6
     475.0       4.3       9.3      15.9      60.3
     480.0       4.3       9.4      16.0      61.0
     485.0       4.4       9.4      16.0      61.7
     490.0       4.4       9.5      16.1      62.4
     495.0       4.4       9.5      16.2      63.1
     500.0       4.4       9.6      16.2      63.9
     505.0       4.4       9.7      16.3      64.6
     510.0       4.5       9.7      16.4      65.3
     515.0       4.5       9.8      16.5      66.0
     520.0       4.5       9.8      16.5      66.7
     525.0       4.5       9.9      16.6      67.4
     530.0       4.5       9.9      16.7      68.2
     535.0       4.6      10.0      16.7      68.9
     540.0       4.6      10.1      16.8      69.6
     545.0       4.6      10.1      16.9      70.3
     550.0       4.6      10.2      17.0      71.1
     555.0       4.6      10.2      17.1      71.8
     560.0       4.7      10.3      17.1      72.5
     565.0       4.7      10.4      17.2      73.3
     570.0       4.7      10.4      17.3      74.0
     575.0       4.7      10.5      17.4      74.7
     580.0       4.7      10.5      17.5      75.5
     585.0       4.7      10.6      17.5      76.2
     590.0       4.8      10.6      17.6      77.0
     595.0       4.8      10.7      17.7      77.7
     600.0       4.8      10.8      17.8      78.4
     605.0       4.8      10.8      17.9      79.2
     610.0       4.8      10.9      18.0      79.9
     615.0       4.8      10.9      18.0      80.7
     620.0       4.9      11.0      18.1      81.4
     625.0       4.9      11.1      18.2      82.2
     630.0       4.9      11.1      18.3      82.9
     635.0       4.9      11.2      18.4      83.7
     640.0       4.9      11.2      18.5      84.4
     645.0       4.9      11.3      18.6      85.2
     650.0       5.0      11.3      18.6      86.0
     655.0       5.0      11.4      18.7      86.7
     660.0       5.0      11.5      18.8      87.5
     665.0       5.0      11.5      18.9      88.3
     670.0       5.0      11.6      19.0      89.0
     675.0       5.0      11.6      19.1      89.8
     680.0       5.1      11.7      19.2      90.6
     685.0       5.1      11.7      19.3      91.3
     690.0       5.1      11.8      19.4      92.1
     695.0       5.1      11.9      19.5      92.9
     700.0       5.1      11.9      19.6      93.7
     705.0       5.1      12.0      19.7      94.4
     710.0       5.2      12.0      19.7      95.2
     715.0       5.2      12.1      19.8      96.0
     720.0       5.2      12.1      19.9      96.8
     725.0       5.2      12.2      20.0      97.6
     730.0       5.2      12.2      20.1      98.3
     735.0       5.2      12.3      20.2      99.1
     740.0       5.3      12.4      20.3      99.9
     745.0       5.3      12.4      20.4     100.7
     750.0       5.3      12.5      20.5     101.5
     755.0       5.3      12.5      20.6     102.3
     760.0       5.3      12.6      20.7     103.1
     765.0       5.3      12.6      20.8     103.9
     770.0       5.3      12.7      20.9     104.7
     775.0       5.4      12.7      21.0     105.5
     780.0       5.4      12.8      21.1     106.3
     785.0       5.4      12.9      21.2     107.1
     790.0       5.4      12.9      21.3     107.9
     795.0       5.4      13.0      21.4     108.7
     800.0       5.4      13.0      21.5     109.5
     805.0       5.4      13.1      21.6     110.3
     810.0       5.5      13.1      21.7     111.1
     815.0       5.5      13.2      21.8     111.9
     820.0       5.5      13.2      21.9     112.8
     825.0       5.5      13.3      22.0     113.6
     830.0       5.5      13.4      22.1     114.4
     835.0       5.5      13.4      22.2     115.2
     840.0       5.5      13.5      22.3     116.0
     845.0       5.6      13.5      22.4     116.8
     850.0       5.6      13.6      22.5     117.7
     855.0       5.6      13.6      22.6     118.5
     860.0       5.6      13.7      22.7     119.3
     865.0       5.6      13.7      22.8     120.1
     870.0       5.6      13.8      23.0     121.0
     875.0       5.6      13.9      23.1     121.8
     880.0       5.7      13.9      23.2     122.6
     885.0       5.7      14.0      23.3     123.5
     890.0       5.7      14.0      23.4     124.3
     895.0       5.7      14.1      23.5     125.1
     900.0       5.7      14.1      23.6     126.0
     905.0       5.7      14.2      23.7     126.8
     910.0       5.7      14.2      23.8     127.7
     915.0       5.7      14.3      23.9     128.5
     920.0       5.8      14.3      24.0     129.4
     925.0       5.8      14.4      24.1     130.2
     930.0       5.8      14.5      24.2     131.0
     935.0       5.8      14.5      24.3     131.9
     940.0       5.8      14.6      24.5     132.7
     945.0       5.8      14.6      24.6     133.6
     950.0       5.8      14.7      24.7     134.4
     955.0       5.9      14.7      24.8     135.3
     960.0       5.9      14.8      24.9     136.2
     965.0       5.9      14.8      25.0     137.0
     970.0       5.9      14.9      25.1     137.9
     975.0       5.9      14.9      25.2     138.7
     980.0       5.9      15.0      25.3     139.6
     985.0       5.9      15.1      25.4     140.5
     990.0       5.9      15.1      25.6     141.3
     995.0       6.0      15.2      25.7     142.2
    1000.0       6.0      15.2      25.8     143.1
    1005.0       6.0      15.3      25.9     144.0
    1010.0       6.0      15.3      26.0     144.8
    1015.0       6.0      15.4      26.1     145.7
    1020.0       6.0      15.4      26.2     146.6
    1025.0       6.0      15.5      26.3     147.5
    1030.0       6.1      15.5      26.5     148.4
    1035.0       6.1      15.6      26.6     149.2
    1040.0       6.1      15.6      26.7     150.1
    1045.0       6.1      15.7      26.8     151.0
    1050.0       6.1      15.7      26.9     151.9
    1055.0       6.1      15.8      27.0     152.8
    1060.0       6.1      15.9      27.1     153.7
    1065.0       6.1      15.9      27.3     154.6
    1070.0       6.2      16.0      27.4     155.5
    1075.0       6.2      16.0      27.5     156.4
    1080.0       6.2      16.1      27.6     157.3
    1085.0       6.2      16.1      27.7     158.2
    1090.0       6.2      16.2      27.8     159.1
    1095.0       6.2      16.2      28.0     159.9
    1100.0       6.2      16.3      28.1     160.9
    1105.0       6.2      16.3      28.2     161.8
    1110.0       6.3      16.4      28.3     162.7
    1115.0       6.3      16.4      28.4     163.6
    1120.0       6.3      16.5      28.5     164.5
    1125.0       6.3      16.5      28.7     165.4
    1130.0       6.3      16.6      28.8     166.3
    1135.0       6.3      16.6      28.9     167.2
    1140.0       6.3      16.7      29.0     168.1
    1145.0       6.3      16.8      29.1     169.0
    1150.0       6.4      16.8      29.3     170.0
    1155.0       6.4      16.9      29.4     170.9
    1160.0       6.4      16.9      29.5     171.8
    1165.0       6.4      17.0      29.6     172.7
    1170.0       6.4      17.0      29.7     173.7
    1175.0       6.4      17.1      29.9     174.6
    1180.0       6.4      17.1      30.0     175.5
    1185.0       6.4      17.2      30.1     176.4
    1190.0       6.4      17.2      30.2     177.4
    1195.0       6.5      17.3      30.3     178.3
    1200.0       6.5      17.3      30.5     179.2
    1205.0       6.5      17.4      30.6     180.2
