# Characteristic  Pathlengths (in Angstroem) for Electron Transport in V
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       2.0      42.3       2.4       0.1
      10.0       1.3      19.8       1.5       0.1
      15.0       1.0      12.7       1.4       0.1
      20.0       1.0       9.7       1.6       0.1
      25.0       1.1       8.0       2.0       0.1
      30.0       1.2       7.0       2.5       0.1
      35.0       1.3       6.2       3.0       0.1
      40.0       1.5       5.8       3.4       0.1
      45.0       1.6       5.5       3.7       1.5
      50.0       1.7       5.3       4.0       2.9
      55.0       1.9       5.2       4.2       4.2
      60.0       2.0       5.2       4.5       5.5
      65.0       2.1       5.2       4.7       6.7
      70.0       2.2       5.2       4.8       7.9
      75.0       2.2       5.3       5.0       9.1
      80.0       2.3       5.3       5.2      10.2
      85.0       2.4       5.4       5.3      11.4
      90.0       2.5       5.4       5.5      12.5
      95.0       2.6       5.5       5.6      13.6
     100.0       2.6       5.6       5.8      14.7
     105.0       2.7       5.7       5.9      15.8
     110.0       2.8       5.7       6.1      16.8
     115.0       2.8       5.8       6.3      17.9
     120.0       2.9       5.9       6.4      19.0
     125.0       3.0       6.0       6.6      20.1
     130.0       3.0       6.1       6.8      21.1
     135.0       3.1       6.2       6.9      22.2
     140.0       3.1       6.3       7.1      23.3
     145.0       3.2       6.3       7.3      24.3
     150.0       3.2       6.4       7.4      25.4
     155.0       3.3       6.5       7.6      26.5
     160.0       3.4       6.6       7.8      27.5
     165.0       3.4       6.7       8.0      28.6
     170.0       3.5       6.8       8.2      29.7
     175.0       3.5       6.9       8.3      30.7
     180.0       3.6       7.0       8.5      31.8
     185.0       3.6       7.1       8.7      32.9
     190.0       3.7       7.2       8.9      34.0
     195.0       3.7       7.3       9.1      35.1
     200.0       3.8       7.4       9.3      36.2
     205.0       3.8       7.5       9.5      37.3
     210.0       3.9       7.6       9.7      38.4
     215.0       3.9       7.7       9.9      39.5
     220.0       4.0       7.8      10.1      40.6
     225.0       4.0       7.9      10.3      41.7
     230.0       4.0       8.0      10.5      42.8
     235.0       4.1       8.1      10.7      43.9
     240.0       4.1       8.2      10.9      45.0
     245.0       4.2       8.3      11.1      46.2
     250.0       4.2       8.4      11.3      47.3
     255.0       4.3       8.5      11.5      48.4
     260.0       4.3       8.6      11.8      49.6
     265.0       4.3       8.7      12.0      50.7
     270.0       4.4       8.8      12.2      51.9
     275.0       4.4       8.9      12.4      53.0
     280.0       4.5       9.0      12.6      54.2
     285.0       4.5       9.1      12.8      55.4
     290.0       4.6       9.2      13.1      56.5
     295.0       4.6       9.3      13.3      57.7
     300.0       4.6       9.4      13.5      58.9
     305.0       4.7       9.4      13.7      60.1
     310.0       4.7       9.5      14.0      61.3
     315.0       4.7       9.6      14.2      62.5
     320.0       4.8       9.7      14.4      63.7
     325.0       4.8       9.8      14.7      64.9
     330.0       4.9       9.9      14.9      66.1
     335.0       4.9      10.0      15.1      67.3
     340.0       4.9      10.1      15.4      68.6
     345.0       5.0      10.2      15.6      69.8
     350.0       5.0      10.3      15.8      71.0
     355.0       5.0      10.4      16.1      72.3
     360.0       5.1      10.5      16.3      73.5
     365.0       5.1      10.6      16.6      74.8
     370.0       5.2      10.7      16.8      76.0
     375.0       5.2      10.8      17.1      77.3
     380.0       5.2      10.9      17.3      78.6
     385.0       5.3      11.0      17.6      79.8
     390.0       5.3      11.1      17.8      81.1
     395.0       5.3      11.2      18.1      82.4
     400.0       5.4      11.3      18.3      83.7
     405.0       5.4      11.4      18.6      85.0
     410.0       5.4      11.4      18.8      86.3
     415.0       5.5      11.5      19.1      87.6
     420.0       5.5      11.6      19.3      88.9
     425.0       5.5      11.7      19.6      90.2
     430.0       5.6      11.8      19.9      91.6
     435.0       5.6      11.9      20.1      92.9
     440.0       5.6      12.0      20.4      94.2
     445.0       5.7      12.1      20.6      95.6
     450.0       5.7      12.2      20.9      96.9
     455.0       5.7      12.3      21.2      98.3
     460.0       5.8      12.4      21.4      99.6
     465.0       5.8      12.5      21.7     101.0
     470.0       5.8      12.6      22.0     102.4
     475.0       5.9      12.7      22.3     103.8
     480.0       5.9      12.8      22.5     105.1
     485.0       5.9      12.8      22.8     106.5
     490.0       6.0      12.9      23.1     107.9
     495.0       6.0      13.0      23.4     109.3
     500.0       6.0      13.1      23.6     110.7
     505.0       6.0      13.2      23.9     112.2
     510.0       6.1      13.3      24.2     113.6
     515.0       6.1      13.4      24.5     115.0
     520.0       6.1      13.5      24.8     116.4
     525.0       6.2      13.6      25.0     117.9
     530.0       6.2      13.7      25.3     119.3
     535.0       6.2      13.8      25.6     120.7
     540.0       6.3      13.9      25.9     122.2
     545.0       6.3      13.9      26.2     123.7
     550.0       6.3      14.0      26.5     125.1
     555.0       6.4      14.1      26.8     126.6
     560.0       6.4      14.2      27.1     128.1
     565.0       6.4      14.3      27.4     129.6
     570.0       6.4      14.4      27.6     131.0
     575.0       6.5      14.5      27.9     132.5
     580.0       6.5      14.6      28.2     134.0
     585.0       6.5      14.7      28.5     135.6
     590.0       6.6      14.8      28.8     137.1
     595.0       6.6      14.9      29.1     138.6
     600.0       6.6      14.9      29.4     140.1
     605.0       6.6      15.0      29.7     141.6
     610.0       6.7      15.1      30.0     143.2
     615.0       6.7      15.2      30.3     144.7
     620.0       6.7      15.3      30.7     146.3
     625.0       6.8      15.4      31.0     147.8
     630.0       6.8      15.5      31.3     149.4
     635.0       6.8      15.6      31.6     150.9
     640.0       6.8      15.7      31.9     152.5
     645.0       6.9      15.8      32.2     154.1
     650.0       6.9      15.8      32.5     155.7
     655.0       6.9      15.9      32.8     157.2
     660.0       7.0      16.0      33.1     158.8
     665.0       7.0      16.1      33.5     160.4
     670.0       7.0      16.2      33.8     162.0
     675.0       7.0      16.3      34.1     163.6
     680.0       7.1      16.4      34.4     165.3
     685.0       7.1      16.5      34.7     166.9
     690.0       7.1      16.6      35.1     168.5
     695.0       7.2      16.6      35.4     170.1
     700.0       7.2      16.7      35.7     171.8
     705.0       7.2      16.8      36.0     173.4
     710.0       7.2      16.9      36.3     175.1
     715.0       7.3      17.0      36.7     176.7
     720.0       7.3      17.1      37.0     178.4
     725.0       7.3      17.2      37.3     180.1
     730.0       7.3      17.3      37.7     181.8
     735.0       7.4      17.3      38.0     183.4
     740.0       7.4      17.4      38.3     185.1
     745.0       7.4      17.5      38.7     186.8
     750.0       7.5      17.6      39.0     188.5
     755.0       7.5      17.7      39.3     190.2
     760.0       7.5      17.8      39.7     191.9
     765.0       7.5      17.9      40.0     193.6
     770.0       7.6      18.0      40.3     195.4
     775.0       7.6      18.0      40.7     197.1
     780.0       7.6      18.1      41.0     198.8
     785.0       7.6      18.2      41.4     200.6
     790.0       7.7      18.3      41.7     202.3
     795.0       7.7      18.4      42.0     204.0
     800.0       7.7      18.5      42.4     205.8
     805.0       7.7      18.6      42.7     207.6
     810.0       7.8      18.7      43.1     209.3
     815.0       7.8      18.7      43.4     211.1
     820.0       7.8      18.8      43.8     212.9
     825.0       7.8      18.9      44.1     214.7
     830.0       7.9      19.0      44.5     216.5
     835.0       7.9      19.1      44.8     218.2
     840.0       7.9      19.2      45.2     220.1
     845.0       8.0      19.3      45.5     221.9
     850.0       8.0      19.4      45.9     223.7
     855.0       8.0      19.4      46.2     225.5
     860.0       8.0      19.5      46.6     227.3
     865.0       8.1      19.6      47.0     229.1
     870.0       8.1      19.7      47.3     231.0
     875.0       8.1      19.8      47.7     232.8
     880.0       8.1      19.9      48.0     234.7
     885.0       8.2      20.0      48.4     236.5
     890.0       8.2      20.0      48.8     238.4
     895.0       8.2      20.1      49.1     240.2
     900.0       8.2      20.2      49.5     242.1
     905.0       8.3      20.3      49.9     244.0
     910.0       8.3      20.4      50.2     245.9
     915.0       8.3      20.5      50.6     247.7
     920.0       8.3      20.6      51.0     249.6
     925.0       8.4      20.6      51.3     251.5
     930.0       8.4      20.7      51.7     253.4
     935.0       8.4      20.8      52.1     255.4
     940.0       8.4      20.9      52.5     257.3
     945.0       8.5      21.0      52.8     259.2
     950.0       8.5      21.1      53.2     261.1
     955.0       8.5      21.1      53.6     263.0
     960.0       8.5      21.2      54.0     265.0
     965.0       8.6      21.3      54.3     266.9
     970.0       8.6      21.4      54.7     268.9
