# Characteristic  Pathlengths (in Angstroem) for Electron Transport in W
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
       5.0       0.7      77.4       0.7       0.1
      10.0       1.3      65.4       1.5       0.1
      15.0       1.6      45.0       2.1       0.1
      20.0       1.6      31.9       2.4       0.1
      25.0       1.6      25.0       2.7       0.1
      30.0       1.5      20.2       2.9       0.1
      35.0       1.5      17.1       3.2       0.1
      40.0       1.4      14.2       3.5       0.1
      45.0       1.4      11.2       3.9       1.2
      50.0       1.4       8.8       4.4       2.2
      55.0       1.4       7.4       4.9       3.0
      60.0       1.5       6.7       5.5       3.9
      65.0       1.5       6.2       6.1       4.6
      70.0       1.5       5.9       6.8       5.3
      75.0       1.5       5.6       7.5       6.0
      80.0       1.5       5.3       8.2       6.6
      85.0       1.5       5.1       8.9       7.3
      90.0       1.6       5.0       9.6       7.9
      95.0       1.6       4.9      10.3       8.5
     100.0       1.6       4.8      10.9       9.0
     105.0       1.6       4.7      11.5       9.6
     110.0       1.7       4.7      12.0      10.2
     115.0       1.7       4.7      12.5      10.8
     120.0       1.7       4.7      12.9      11.3
     125.0       1.8       4.7      13.3      11.9
     130.0       1.8       4.7      13.6      12.4
     135.0       1.8       4.7      13.8      13.0
     140.0       1.8       4.8      14.0      13.5
     145.0       1.9       4.8      14.1      14.1
     150.0       1.9       4.8      14.2      14.6
     155.0       1.9       4.9      14.3      15.2
     160.0       2.0       4.9      14.3      15.7
     165.0       2.0       5.0      14.3      16.3
     170.0       2.0       5.0      14.3      16.8
     175.0       2.1       5.1      14.3      17.4
     180.0       2.1       5.1      14.3      17.9
     185.0       2.1       5.2      14.2      18.5
     190.0       2.2       5.2      14.2      19.0
     195.0       2.2       5.3      14.1      19.6
     200.0       2.3       5.3      14.0      20.1
     205.0       2.3       5.4      14.0      20.7
     210.0       2.3       5.4      13.9      21.2
     215.0       2.4       5.5      13.8      21.8
     220.0       2.4       5.5      13.8      22.3
     225.0       2.4       5.6      13.7      22.9
     230.0       2.5       5.7      13.6      23.5
     235.0       2.5       5.7      13.6      24.0
     240.0       2.5       5.8      13.5      24.6
     245.0       2.6       5.8      13.5      25.1
     250.0       2.6       5.9      13.4      25.7
     255.0       2.6       5.9      13.4      26.3
     260.0       2.7       6.0      13.4      26.8
     265.0       2.7       6.0      13.3      27.4
     270.0       2.7       6.1      13.3      28.0
     275.0       2.8       6.2      13.3      28.6
     280.0       2.8       6.2      13.2      29.1
     285.0       2.8       6.3      13.2      29.7
     290.0       2.9       6.3      13.2      30.3
     295.0       2.9       6.4      13.2      30.9
     300.0       2.9       6.4      13.2      31.5
     305.0       2.9       6.5      13.2      32.0
     310.0       3.0       6.6      13.2      32.6
     315.0       3.0       6.6      13.2      33.2
     320.0       3.0       6.7      13.2      33.8
     325.0       3.1       6.7      13.2      34.4
     330.0       3.1       6.8      13.2      35.0
     335.0       3.1       6.8      13.2      35.6
     340.0       3.1       6.9      13.2      36.2
     345.0       3.2       7.0      13.2      36.8
     350.0       3.2       7.0      13.2      37.4
     355.0       3.2       7.1      13.3      38.0
     360.0       3.3       7.1      13.3      38.6
     365.0       3.3       7.2      13.3      39.2
     370.0       3.3       7.2      13.3      39.8
     375.0       3.3       7.3      13.4      40.4
     380.0       3.4       7.3      13.4      41.0
     385.0       3.4       7.4      13.4      41.6
     390.0       3.4       7.5      13.4      42.2
     395.0       3.4       7.5      13.5      42.8
     400.0       3.5       7.6      13.5      43.4
     405.0       3.5       7.6      13.6      44.1
     410.0       3.5       7.7      13.6      44.7
     415.0       3.5       7.7      13.6      45.3
     420.0       3.5       7.8      13.7      45.9
     425.0       3.6       7.8      13.7      46.5
     430.0       3.6       7.9      13.8      47.1
     435.0       3.6       8.0      13.8      47.8
     440.0       3.6       8.0      13.8      48.4
     445.0       3.7       8.1      13.9      49.0
     450.0       3.7       8.1      13.9      49.7
     455.0       3.7       8.2      14.0      50.3
     460.0       3.7       8.2      14.0      50.9
     465.0       3.7       8.3      14.1      51.5
     470.0       3.8       8.3      14.1      52.2
     475.0       3.8       8.4      14.2      52.8
     480.0       3.8       8.4      14.3      53.5
     485.0       3.8       8.5      14.3      54.1
     490.0       3.8       8.5      14.4      54.7
     495.0       3.9       8.6      14.4      55.4
     500.0       3.9       8.7      14.5      56.0
     505.0       3.9       8.7      14.5      56.7
     510.0       3.9       8.8      14.6      57.3
     515.0       3.9       8.8      14.7      57.9
     520.0       4.0       8.9      14.7      58.6
     525.0       4.0       8.9      14.8      59.2
     530.0       4.0       9.0      14.9      59.9
     535.0       4.0       9.0      14.9      60.5
     540.0       4.0       9.1      15.0      61.2
     545.0       4.0       9.1      15.0      61.9
     550.0       4.1       9.2      15.1      62.5
     555.0       4.1       9.2      15.2      63.2
     560.0       4.1       9.3      15.2      63.8
     565.0       4.1       9.3      15.3      64.5
     570.0       4.1       9.4      15.4      65.2
     575.0       4.1       9.4      15.5      65.8
     580.0       4.2       9.5      15.5      66.5
     585.0       4.2       9.5      15.6      67.1
     590.0       4.2       9.6      15.7      67.8
     595.0       4.2       9.6      15.7      68.5
     600.0       4.2       9.7      15.8      69.2
     605.0       4.2       9.8      15.9      69.8
     610.0       4.3       9.8      16.0      70.5
     615.0       4.3       9.9      16.0      71.2
     620.0       4.3       9.9      16.1      71.8
